number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.5971655148275596,2024-07-10 20:45:46.680861,2024-07-10 20:45:55.597372,0 days 00:00:08.916511,log_loss,10,0.5780093202212182,12,15,218,COMPLETE,"{'accuracy': 0.6108757062146892, 'balanced_accuracy': 0.6319948430775363, 'precision': 0.6102429097878465, 'recall': 0.6108757062146892, 'f1': 0.6003221217685322}","{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6205219750203644, 'precision': 0.5980020711506413, 'recall': 0.6009887005649718, 'f1': 0.5880390510334361}","{'accuracy': 0.6045197740112994, 'balanced_accuracy': 0.6262139698030217, 'precision': 0.6064956720196515, 'recall': 0.6045197740112994, 'f1': 0.5927849976241197}","{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6386378211967555, 'precision': 0.6226402072370653, 'recall': 0.615819209039548, 'f1': 0.601874224894544}","{'accuracy': 0.6113074204946997, 'balanced_accuracy': 0.6278269020243739, 'precision': 0.6105845338471612, 'recall': 0.6113074204946997, 'f1': 0.6028071788171662}",0.6087021620650417,0.6290391022244103,0.6095930788084731,0.6087021620650416,0.5971655148275596,0.005898175171997,0.006761362071249866,0.008882260564842495,0.005898175171997,0.00645069304031395
1,0.5960894387754844,2024-07-10 20:45:55.598375,2024-07-10 20:46:11.211729,0 days 00:00:15.613354,gini,8,0.9162213204002109,20,2,321,COMPLETE,"{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6210756956267366, 'precision': 0.5966233304349957, 'recall': 0.5995762711864406, 'f1': 0.5884299258864994}","{'accuracy': 0.605225988700565, 'balanced_accuracy': 0.6250675198896117, 'precision': 0.6031693457582628, 'recall': 0.605225988700565, 'f1': 0.5925320196637667}","{'accuracy': 0.6122881355932204, 'balanced_accuracy': 0.6326600832196191, 'precision': 0.6158136580766439, 'recall': 0.6122881355932204, 'f1': 0.6015038258883032}","{'accuracy': 0.6137005649717514, 'balanced_accuracy': 0.6365692065250841, 'precision': 0.6197441304345034, 'recall': 0.6137005649717514, 'f1': 0.5992317538708399}","{'accuracy': 0.610600706713781, 'balanced_accuracy': 0.6289725550004189, 'precision': 0.6098589661545654, 'recall': 0.610600706713781, 'f1': 0.5987496685680127}",0.6082783334331516,0.6288690120522942,0.6090418861717942,0.6082783334331517,0.5960894387754844,0.005829134189308078,0.006100472527362421,0.009351066840002526,0.005829134189308078,0.005421944368673333
2,0.5578854501265045,2024-07-10 20:46:11.211729,2024-07-10 20:46:18.954452,0 days 00:00:07.742723,log_loss,6,0.8059264473611898,6,10,187,COMPLETE,"{'accuracy': 0.5847457627118644, 'balanced_accuracy': 0.6136759844114331, 'precision': 0.5816748340547102, 'recall': 0.5847457627118644, 'f1': 0.5596490603003541}","{'accuracy': 0.596045197740113, 'balanced_accuracy': 0.624802282539814, 'precision': 0.5995290876098408, 'recall': 0.596045197740113, 'f1': 0.568891272516287}","{'accuracy': 0.588276836158192, 'balanced_accuracy': 0.6181383490602982, 'precision': 0.5956320246577145, 'recall': 0.588276836158192, 'f1': 0.5564791705145111}","{'accuracy': 0.5812146892655368, 'balanced_accuracy': 0.6129111005395615, 'precision': 0.5817691049433804, 'recall': 0.5812146892655368, 'f1': 0.5490591072545142}","{'accuracy': 0.5872791519434629, 'balanced_accuracy': 0.6187627567626836, 'precision': 0.5918745065299835, 'recall': 0.5872791519434629, 'f1': 0.5553486400468564}",0.5875123275638339,0.617658094662758,0.5900959115591259,0.5875123275638339,0.5578854501265045,0.005494607513789041,0.004766589407621824,0.008109362081352394,0.005494607513789041,0.007255270559083066
3,0.5992904808902813,2024-07-10 20:46:18.955453,2024-07-10 20:46:31.158640,0 days 00:00:12.203187,entropy,9,0.7962072844310213,11,5,255,COMPLETE,"{'accuracy': 0.6129943502824858, 'balanced_accuracy': 0.6346562829088398, 'precision': 0.6139707785508476, 'recall': 0.6129943502824858, 'f1': 0.6025058313267456}","{'accuracy': 0.6045197740112994, 'balanced_accuracy': 0.6251628634736991, 'precision': 0.6031103421147211, 'recall': 0.6045197740112994, 'f1': 0.5906320510367653}","{'accuracy': 0.6073446327683616, 'balanced_accuracy': 0.6307263959482672, 'precision': 0.6106577661682283, 'recall': 0.6073446327683616, 'f1': 0.5945893274993713}","{'accuracy': 0.6165254237288136, 'balanced_accuracy': 0.6410649774557342, 'precision': 0.6239360856138546, 'recall': 0.6165254237288136, 'f1': 0.599511766157117}","{'accuracy': 0.6190812720848057, 'balanced_accuracy': 0.6372568861350768, 'precision': 0.6200462838930301, 'recall': 0.6190812720848057, 'f1': 0.609213428431407}",0.6120930905751532,0.6337734811843234,0.6143442512681364,0.6120930905751532,0.5992904808902813,0.00610728053998196,0.006113649331742231,0.008130910639354023,0.00610728053998196,0.00717498404589941
4,0.5973318459724771,2024-07-10 20:46:31.158640,2024-07-10 20:46:35.035860,0 days 00:00:03.877220,entropy,10,0.6523068845866853,17,20,79,COMPLETE,"{'accuracy': 0.6045197740112994, 'balanced_accuracy': 0.624972368010713, 'precision': 0.6031036368454649, 'recall': 0.6045197740112994, 'f1': 0.5940749571335557}","{'accuracy': 0.606638418079096, 'balanced_accuracy': 0.6266386529857383, 'precision': 0.6050480868972383, 'recall': 0.606638418079096, 'f1': 0.5936450568982979}","{'accuracy': 0.6024011299435028, 'balanced_accuracy': 0.6258678791372029, 'precision': 0.6056824193569136, 'recall': 0.6024011299435028, 'f1': 0.5892650608313161}","{'accuracy': 0.614406779661017, 'balanced_accuracy': 0.6386213576873491, 'precision': 0.6209812669929912, 'recall': 0.614406779661017, 'f1': 0.5999395816692007}","{'accuracy': 0.6183745583038869, 'balanced_accuracy': 0.6346112882438236, 'precision': 0.6189091923331878, 'recall': 0.6183745583038869, 'f1': 0.6097345733300149}",0.6092681319997604,0.6301423092129654,0.610744920485159,0.6092681319997604,0.5973318459724771,0.006818187368186422,0.006106158532070638,0.008483957963432032,0.006818187368186422,0.007904123804534187
5,0.5607367084821868,2024-07-10 20:46:35.036861,2024-07-10 20:46:38.756928,0 days 00:00:03.720067,gini,6,0.6293899908000085,19,2,105,COMPLETE,"{'accuracy': 0.5805084745762712, 'balanced_accuracy': 0.607592425170061, 'precision': 0.5746795853419053, 'recall': 0.5805084745762712, 'f1': 0.5572603492174063}","{'accuracy': 0.5875706214689266, 'balanced_accuracy': 0.6158004547035543, 'precision': 0.5872581962449845, 'recall': 0.5875706214689266, 'f1': 0.561974738991768}","{'accuracy': 0.6002824858757062, 'balanced_accuracy': 0.6268313133952533, 'precision': 0.6097651458595427, 'recall': 0.6002824858757062, 'f1': 0.5750295479595774}","{'accuracy': 0.577683615819209, 'balanced_accuracy': 0.609103498352631, 'precision': 0.5757207981162692, 'recall': 0.577683615819209, 'f1': 0.5460005216534336}","{'accuracy': 0.5886925795053004, 'balanced_accuracy': 0.6157412446475773, 'precision': 0.5877740948648993, 'recall': 0.5886925795053004, 'f1': 0.5634183845887489}",0.5869475554490827,0.6150137872538154,0.5870395640855202,0.5869475554490826,0.5607367084821868,0.008782596849128722,0.007596217712016915,0.014123764902320446,0.008782596849128722,0.01051486617365337
6,0.45395551113427784,2024-07-10 20:46:38.757921,2024-07-10 20:46:47.194440,0 days 00:00:08.436519,log_loss,3,0.9697494707820946,16,20,296,COMPLETE,"{'accuracy': 0.5374293785310734, 'balanced_accuracy': 0.5752424654175738, 'precision': 0.5031820597715196, 'recall': 0.5374293785310734, 'f1': 0.44805299430630485}","{'accuracy': 0.5437853107344632, 'balanced_accuracy': 0.5804531545763096, 'precision': 0.5339704070644982, 'recall': 0.5437853107344632, 'f1': 0.45266487049275544}","{'accuracy': 0.5346045197740112, 'balanced_accuracy': 0.5720549171376136, 'precision': 0.5171270853086738, 'recall': 0.5346045197740112, 'f1': 0.46040377546754374}","{'accuracy': 0.5409604519774012, 'balanced_accuracy': 0.5790274265606509, 'precision': 0.5308084835756063, 'recall': 0.5409604519774012, 'f1': 0.45754185738861114}","{'accuracy': 0.537809187279152, 'balanced_accuracy': 0.578176044750997, 'precision': 0.5204909630108003, 'recall': 0.537809187279152, 'f1': 0.4511140580161739}",0.5389177696592202,0.5769908016886289,0.5211157997462197,0.5389177696592202,0.45395551113427784,0.003532488315203116,0.0033526170942526318,0.012217900212536133,0.003532488315203116,0.004975472499172214
7,0.46470787999520535,2024-07-10 20:46:47.195443,2024-07-10 20:46:49.477116,0 days 00:00:02.281673,entropy,3,0.6943386448447411,7,2,89,COMPLETE,"{'accuracy': 0.5423728813559322, 'balanced_accuracy': 0.5765047350123957, 'precision': 0.5192174508488901, 'recall': 0.5423728813559322, 'f1': 0.4698005586924769}","{'accuracy': 0.5423728813559322, 'balanced_accuracy': 0.574966720640271, 'precision': 0.52359075932974, 'recall': 0.5423728813559322, 'f1': 0.4742435371579338}","{'accuracy': 0.530367231638418, 'balanced_accuracy': 0.5689021732652121, 'precision': 0.5019448980061665, 'recall': 0.530367231638418, 'f1': 0.44510249491115816}","{'accuracy': 0.5430790960451978, 'balanced_accuracy': 0.5784056869701235, 'precision': 0.5293971158948011, 'recall': 0.5430790960451978, 'f1': 0.47592727130785006}","{'accuracy': 0.5356890459363958, 'balanced_accuracy': 0.5731912298488734, 'precision': 0.5115586494303376, 'recall': 0.5356890459363958, 'f1': 0.45846553790660816}",0.5387762272663752,0.5743941091473751,0.517141774701987,0.5387762272663752,0.46470787999520535,0.005581854912186372,0.0036222803740327413,0.010702891794452166,0.005581854912186372,0.01290423219635556
8,0.5557649737520627,2024-07-10 20:46:49.478116,2024-07-10 20:46:54.974962,0 days 00:00:05.496846,gini,6,0.5372753218398854,17,4,176,COMPLETE,"{'accuracy': 0.5755649717514124, 'balanced_accuracy': 0.6033100783040336, 'precision': 0.5670061334549655, 'recall': 0.5755649717514124, 'f1': 0.5492145394798174}","{'accuracy': 0.5861581920903954, 'balanced_accuracy': 0.6123056327532519, 'precision': 0.5855678880519253, 'recall': 0.5861581920903954, 'f1': 0.5609029711307632}","{'accuracy': 0.5925141242937854, 'balanced_accuracy': 0.6192555011324355, 'precision': 0.5982399116471244, 'recall': 0.5925141242937854, 'f1': 0.5666784718939581}","{'accuracy': 0.577683615819209, 'balanced_accuracy': 0.6093832557178519, 'precision': 0.5757832485615406, 'recall': 0.577683615819209, 'f1': 0.5438127790283941}","{'accuracy': 0.5851590106007067, 'balanced_accuracy': 0.6120214858561607, 'precision': 0.5829645325845605, 'recall': 0.5851590106007067, 'f1': 0.5582161072273812}",0.5834159829111017,0.6112551907527467,0.5819123428600232,0.5834159829111017,0.5557649737520627,0.006852598814223943,0.005751620540136082,0.011627773777803553,0.006852598814223943,0.009182519560801565
9,0.6037705198643482,2024-07-10 20:46:54.975965,2024-07-10 20:46:58.005212,0 days 00:00:03.029247,entropy,9,0.8856351733429728,15,15,52,COMPLETE,"{'accuracy': 0.6122881355932204, 'balanced_accuracy': 0.6335100247006186, 'precision': 0.6123600048300177, 'recall': 0.6122881355932204, 'f1': 0.6017567591106501}","{'accuracy': 0.6080508474576272, 'balanced_accuracy': 0.6276336161368279, 'precision': 0.6073499467085944, 'recall': 0.6080508474576272, 'f1': 0.5964437376312196}","{'accuracy': 0.6151129943502824, 'balanced_accuracy': 0.638061747104313, 'precision': 0.6201574271167424, 'recall': 0.6151129943502824, 'f1': 0.602605377630183}","{'accuracy': 0.6207627118644068, 'balanced_accuracy': 0.6446093816394448, 'precision': 0.6304857559552887, 'recall': 0.6207627118644068, 'f1': 0.605796349660466}","{'accuracy': 0.6219081272084805, 'balanced_accuracy': 0.6392645172571235, 'precision': 0.6233793929691065, 'recall': 0.6219081272084805, 'f1': 0.6122503752892221}",0.6156245632948034,0.6366158573676656,0.61874650551595,0.6156245632948034,0.6037705198643482,0.005801688770430685,0.006390017228238635,0.009109518242690408,0.005801688770430685,0.005811765245608717
