number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_weights,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.6490996433350554,2024-07-24 17:28:10.436359,2024-07-24 17:29:03.272816,0 days 00:00:52.836457,cityblock,189,uniform,COMPLETE,"{'accuracy': 0.6858247422680412, 'balanced_accuracy': 0.662288060087063, 'precision': 0.6877524604013753, 'recall': 0.6858247422680412, 'f1': 0.6605485334148089}","{'accuracy': 0.6778350515463918, 'balanced_accuracy': 0.6549867433060005, 'precision': 0.6731842197918293, 'recall': 0.6778350515463918, 'f1': 0.6525362422680323}","{'accuracy': 0.6713917525773195, 'balanced_accuracy': 0.6484650444737712, 'precision': 0.6652368759492725, 'recall': 0.6713917525773195, 'f1': 0.6468849397374409}","{'accuracy': 0.6605670103092783, 'balanced_accuracy': 0.6361605147117523, 'precision': 0.6516550340848704, 'recall': 0.6605670103092783, 'f1': 0.6307609442436756}","{'accuracy': 0.6804123711340206, 'balanced_accuracy': 0.6572738681956688, 'precision': 0.6792131213444794, 'recall': 0.6804123711340206, 'f1': 0.6547675570113193}",0.6752061855670103,0.6518348461548511,0.6714083423143654,0.6752061855670103,0.6490996433350554,0.009690516010101556,0.010072578213675463,0.013779320517272469,0.009690516010101556,0.011360296410255516
1,0.6919196953925877,2024-07-24 17:29:03.273816,2024-07-24 17:29:09.316725,0 days 00:00:06.042909,euclidean,31,uniform,COMPLETE,"{'accuracy': 0.7095360824742268, 'balanced_accuracy': 0.6944889113236231, 'precision': 0.7039125196989711, 'recall': 0.7095360824742268, 'f1': 0.7003420740999489}","{'accuracy': 0.7030927835051546, 'balanced_accuracy': 0.6882662746291911, 'precision': 0.6949415233897995, 'recall': 0.7030927835051546, 'f1': 0.6930012492061461}","{'accuracy': 0.6935567010309278, 'balanced_accuracy': 0.6767469882438665, 'precision': 0.6851073576439543, 'recall': 0.6935567010309278, 'f1': 0.682872492937178}","{'accuracy': 0.6938144329896907, 'balanced_accuracy': 0.6781691887783808, 'precision': 0.6857771857743504, 'recall': 0.6938144329896907, 'f1': 0.6839654058432865}","{'accuracy': 0.7085051546391753, 'balanced_accuracy': 0.6935882639484124, 'precision': 0.7009881029612114, 'recall': 0.7085051546391753, 'f1': 0.6994172548763794}",0.7017010309278351,0.6862519253846948,0.6941453378936573,0.7017010309278351,0.6919196953925877,0.007716048923476221,0.008387518477722443,0.008581466110431545,0.007716048923476221,0.008268044122676815
2,0.6002142688573668,2024-07-24 17:29:09.317725,2024-07-24 17:29:16.868856,0 days 00:00:07.551131,euclidean,417,uniform,COMPLETE,"{'accuracy': 0.6420103092783506, 'balanced_accuracy': 0.6105065430284657, 'precision': 0.6460724407728378, 'recall': 0.6420103092783506, 'f1': 0.592452930335464}","{'accuracy': 0.6469072164948454, 'balanced_accuracy': 0.6172077553834451, 'precision': 0.6390514535288144, 'recall': 0.6469072164948454, 'f1': 0.6026685979658548}","{'accuracy': 0.6451030927835052, 'balanced_accuracy': 0.6134721173564753, 'precision': 0.6300579656935485, 'recall': 0.6451030927835052, 'f1': 0.5987320768015477}","{'accuracy': 0.6438144329896908, 'balanced_accuracy': 0.612551372091409, 'precision': 0.6312303350693914, 'recall': 0.6438144329896908, 'f1': 0.5960592687210187}","{'accuracy': 0.656701030927835, 'balanced_accuracy': 0.6258905767051564, 'precision': 0.6624689285238999, 'recall': 0.656701030927835, 'f1': 0.6111584704629492}",0.6469072164948454,0.6159256729129904,0.6417762247176985,0.6469072164948454,0.6002142688573668,0.005760179546037868,0.006076920532986873,0.013253331885480108,0.005760179546037868,0.007167610746116236
3,0.649208050060109,2024-07-24 17:29:16.869856,2024-07-24 17:29:23.215002,0 days 00:00:06.345146,euclidean,218,distance,COMPLETE,"{'accuracy': 0.6824742268041237, 'balanced_accuracy': 0.6582290652914936, 'precision': 0.6826420203122098, 'recall': 0.6824742268041237, 'f1': 0.6585571019185523}","{'accuracy': 0.6693298969072164, 'balanced_accuracy': 0.6444303376546339, 'precision': 0.6602940124501664, 'recall': 0.6693298969072164, 'f1': 0.6412930048973362}","{'accuracy': 0.6737113402061856, 'balanced_accuracy': 0.648677094540303, 'precision': 0.6660594712217444, 'recall': 0.6737113402061856, 'f1': 0.648866832838831}","{'accuracy': 0.668041237113402, 'balanced_accuracy': 0.6423640253863718, 'precision': 0.6588973970492962, 'recall': 0.668041237113402, 'f1': 0.6399903948382705}","{'accuracy': 0.6832474226804124, 'balanced_accuracy': 0.6583215774101695, 'precision': 0.6792441409945725, 'recall': 0.6832474226804124, 'f1': 0.657332915807555}",0.675360824742268,0.6504044200565943,0.6694274084055979,0.6753608247422681,0.649208050060109,0.007167080451177087,0.0075370371176425935,0.010916011958159492,0.007167080451177087,0.008676804581402667
4,0.6223436345452168,2024-07-24 17:29:23.216003,2024-07-24 17:29:35.999446,0 days 00:00:12.783443,cosine,230,uniform,COMPLETE,"{'accuracy': 0.6505154639175258, 'balanced_accuracy': 0.6260498507400967, 'precision': 0.6445759718910381, 'recall': 0.6505154639175258, 'f1': 0.6229282729173072}","{'accuracy': 0.6461340206185567, 'balanced_accuracy': 0.6212275374005319, 'precision': 0.6287259448799866, 'recall': 0.6461340206185567, 'f1': 0.6174108757087661}","{'accuracy': 0.6536082474226804, 'balanced_accuracy': 0.629444872463051, 'precision': 0.6425329068994292, 'recall': 0.6536082474226804, 'f1': 0.6275866533830188}","{'accuracy': 0.6461340206185567, 'balanced_accuracy': 0.6200200017313137, 'precision': 0.6331321040725355, 'recall': 0.6461340206185567, 'f1': 0.6158528705170343}","{'accuracy': 0.6551546391752577, 'balanced_accuracy': 0.6309872208649651, 'precision': 0.6440815655105432, 'recall': 0.6551546391752577, 'f1': 0.6279395001999574}",0.6503092783505154,0.6255458966399916,0.6386096986507065,0.6503092783505154,0.6223436345452168,0.0041613935528153805,0.004854063570552952,0.007221875401098227,0.0041613935528153805,0.005603723949163241
5,0.6061623601866849,2024-07-24 17:29:35.999446,2024-07-24 17:29:48.708346,0 days 00:00:12.708900,cosine,305,uniform,COMPLETE,"{'accuracy': 0.6391752577319587, 'balanced_accuracy': 0.6120427666875566, 'precision': 0.6341887406449778, 'recall': 0.6391752577319587, 'f1': 0.6049460026572652}","{'accuracy': 0.6368556701030927, 'balanced_accuracy': 0.6102658801200923, 'precision': 0.6173160896726745, 'recall': 0.6368556701030927, 'f1': 0.6033114141456808}","{'accuracy': 0.6448453608247423, 'balanced_accuracy': 0.6189152739426027, 'precision': 0.6315584641563979, 'recall': 0.6448453608247423, 'f1': 0.6143804491127255}","{'accuracy': 0.636340206185567, 'balanced_accuracy': 0.6086169550729216, 'precision': 0.6205463843579785, 'recall': 0.636340206185567, 'f1': 0.6015954321308831}","{'accuracy': 0.6404639175257731, 'balanced_accuracy': 0.6136692540916986, 'precision': 0.627492601746154, 'recall': 0.6404639175257731, 'f1': 0.6065785028868695}",0.6395360824742268,0.6127020259829743,0.6262204561156365,0.6395360824742268,0.6061623601866849,0.0034123944933327297,0.003955920065108861,0.0071604656753352655,0.0034123944933327297,0.004954150057734196
6,0.6612102354550888,2024-07-24 17:29:48.709347,2024-07-24 17:29:54.852091,0 days 00:00:06.142744,euclidean,154,distance,COMPLETE,"{'accuracy': 0.6873711340206186, 'balanced_accuracy': 0.6651477738398165, 'precision': 0.6820115239451844, 'recall': 0.6873711340206186, 'f1': 0.6680655448094678}","{'accuracy': 0.6829896907216495, 'balanced_accuracy': 0.6602046917588712, 'precision': 0.6751654186117234, 'recall': 0.6829896907216495, 'f1': 0.6601363488183629}","{'accuracy': 0.6760309278350516, 'balanced_accuracy': 0.6529751765844115, 'precision': 0.6675384110206988, 'recall': 0.6760309278350516, 'f1': 0.6554243882055805}","{'accuracy': 0.6770618556701031, 'balanced_accuracy': 0.6534389990076478, 'precision': 0.6702138194560836, 'recall': 0.6770618556701031, 'f1': 0.6533156778729124}","{'accuracy': 0.6899484536082474, 'balanced_accuracy': 0.6677867115884726, 'precision': 0.6829841911007867, 'recall': 0.6899484536082474, 'f1': 0.66910921756912}",0.6826804123711341,0.659910670555844,0.6755826728268954,0.6826804123711339,0.6612102354550888,0.00613813428725944,0.00669942779045313,0.006888784999255344,0.00613813428725944,0.0071823130867343255
7,0.7189681123921249,2024-07-24 17:29:54.853091,2024-07-24 17:30:46.636745,0 days 00:00:51.783654,cityblock,20,uniform,COMPLETE,"{'accuracy': 0.7353092783505155, 'balanced_accuracy': 0.7213249226845345, 'precision': 0.7332070464709393, 'recall': 0.7353092783505155, 'f1': 0.7268307200420039}","{'accuracy': 0.7288659793814433, 'balanced_accuracy': 0.7151757088865076, 'precision': 0.7238645860494455, 'recall': 0.7288659793814433, 'f1': 0.7201425562337167}","{'accuracy': 0.7224226804123711, 'balanced_accuracy': 0.7083116735955298, 'precision': 0.7168842595330477, 'recall': 0.7224226804123711, 'f1': 0.713886969359773}","{'accuracy': 0.722680412371134, 'balanced_accuracy': 0.7077404118704266, 'precision': 0.7170642534464766, 'recall': 0.722680412371134, 'f1': 0.7123613185320314}","{'accuracy': 0.7306701030927835, 'balanced_accuracy': 0.7170527791603895, 'precision': 0.7245630961102144, 'recall': 0.7306701030927835, 'f1': 0.7216189977930992}",0.7279896907216494,0.7139210992394776,0.7231166483220247,0.7279896907216495,0.7189681123921249,0.00549338001002397,0.005828048955438765,0.0067071214130617115,0.00549338001002397,0.005909628804482435
8,0.6539080692633439,2024-07-24 17:30:46.637745,2024-07-24 17:30:58.992876,0 days 00:00:12.355131,cosine,275,distance,COMPLETE,"{'accuracy': 0.6793814432989691, 'balanced_accuracy': 0.6583987089570914, 'precision': 0.6808242458663437, 'recall': 0.6793814432989691, 'f1': 0.65928838057976}","{'accuracy': 0.6737113402061856, 'balanced_accuracy': 0.6512613596637261, 'precision': 0.6657804098159167, 'recall': 0.6737113402061856, 'f1': 0.6496595575906345}","{'accuracy': 0.6719072164948454, 'balanced_accuracy': 0.6498418099316953, 'precision': 0.6632976890331331, 'recall': 0.6719072164948454, 'f1': 0.6508504770910579}","{'accuracy': 0.6713917525773195, 'balanced_accuracy': 0.648431783585545, 'precision': 0.6662340927597776, 'recall': 0.6713917525773195, 'f1': 0.6483186509889157}","{'accuracy': 0.6832474226804124, 'balanced_accuracy': 0.6614078406521428, 'precision': 0.6795759964307142, 'recall': 0.6832474226804124, 'f1': 0.661423280066351}",0.6759278350515464,0.6538683005580401,0.671142486781177,0.6759278350515464,0.6539080692633439,0.005175858387125305,0.005699424301530219,0.00835532161185977,0.005175858387125305,0.006001384449584812
9,0.6161089374484247,2024-07-24 17:30:58.993877,2024-07-24 17:31:06.154408,0 days 00:00:07.160531,euclidean,300,uniform,COMPLETE,"{'accuracy': 0.6520618556701031, 'balanced_accuracy': 0.6227515797594018, 'precision': 0.6522651328015361, 'recall': 0.6520618556701031, 'f1': 0.6122905329001632}","{'accuracy': 0.6510309278350516, 'balanced_accuracy': 0.6232588438364252, 'precision': 0.6391017336802272, 'recall': 0.6510309278350516, 'f1': 0.6137335894733883}","{'accuracy': 0.6559278350515464, 'balanced_accuracy': 0.6264077798144905, 'precision': 0.6451732187860343, 'recall': 0.6559278350515464, 'f1': 0.6186542754444884}","{'accuracy': 0.6518041237113402, 'balanced_accuracy': 0.6221138610620699, 'precision': 0.6411510185846616, 'recall': 0.6518041237113402, 'f1': 0.6113980678060612}","{'accuracy': 0.6631443298969072, 'balanced_accuracy': 0.6338473100715456, 'precision': 0.6612040927701253, 'recall': 0.6631443298969072, 'f1': 0.6244682216180224}",0.6547938144329897,0.6256758749087866,0.6477790393245169,0.6547938144329897,0.6161089374484247,0.005039302434826896,0.004857713489385863,0.009032907720567437,0.005039302434826896,0.0054491091342146825
