number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_learning_rate,params_num_layers,params_num_units,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.43456098506987145,2024-07-10 16:10:43.939331,2024-07-10 16:11:12.675778,0 days 00:00:28.736447,0.4,0.015751320499779727,2,128,COMPLETE,"{'accuracy': 0.501412429378531, 'balanced_accuracy': 0.523974488957596, 'precision': 0.4792212814397635, 'recall': 0.501412429378531, 'f1': 0.4260970437120794}","{'accuracy': 0.4696327683615819, 'balanced_accuracy': 0.4788913052997415, 'precision': 0.5033011289367222, 'recall': 0.4696327683615819, 'f1': 0.38276176225975356}","{'accuracy': 0.4759887005649718, 'balanced_accuracy': 0.4461479103103176, 'precision': 0.5011326776755525, 'recall': 0.4759887005649718, 'f1': 0.433895916771673}","{'accuracy': 0.4915254237288136, 'balanced_accuracy': 0.47869210377697297, 'precision': 0.5471504251767313, 'recall': 0.4915254237288136, 'f1': 0.4801487808930809}","{'accuracy': 0.4862190812720848, 'balanced_accuracy': 0.4752017201899578, 'precision': 0.49930707241387606, 'recall': 0.4862190812720848, 'f1': 0.4499014217127707}",0.48495568066119665,0.48058150570691716,0.5060225171285292,0.48495568066119665,0.43456098506987145,0.012557673518723103,0.027856741538666175,0.02493102853949317,0.012557673518723103,0.03559780971947251
1,0.4713213869923381,2024-07-10 16:11:12.676773,2024-07-10 16:11:30.873855,0 days 00:00:18.197082,0.05,0.05399484409787434,1,32,COMPLETE,"{'accuracy': 0.4901129943502825, 'balanced_accuracy': 0.4952606940690328, 'precision': 0.4912039685184681, 'recall': 0.4901129943502825, 'f1': 0.49059682183977493}","{'accuracy': 0.5042372881355932, 'balanced_accuracy': 0.5217027361962613, 'precision': 0.4771448049310218, 'recall': 0.5042372881355932, 'f1': 0.44902583121296114}","{'accuracy': 0.4668079096045198, 'balanced_accuracy': 0.4514918709331727, 'precision': 0.46539725373527324, 'recall': 0.4668079096045198, 'f1': 0.436907752165571}","{'accuracy': 0.5247175141242938, 'balanced_accuracy': 0.519498589261347, 'precision': 0.530701151448087, 'recall': 0.5247175141242938, 'f1': 0.4978808359156052}","{'accuracy': 0.5166077738515901, 'balanced_accuracy': 0.5289978948995692, 'precision': 0.49829455391996336, 'recall': 0.5166077738515901, 'f1': 0.48219569382777805}",0.5004966960132559,0.5033903570718766,0.4925483465105627,0.5004966960132557,0.4713213869923381,0.022929034423769437,0.03166270934036931,0.024823948660835985,0.022929034423769437,0.026816913200059498
2,0.25680714921437503,2024-07-10 16:11:30.874861,2024-07-10 16:11:56.423181,0 days 00:00:25.548320,0.05,0.08706020878304858,3,96,COMPLETE,"{'accuracy': 0.4759887005649718, 'balanced_accuracy': 0.4673943683255855, 'precision': 0.46915967588049834, 'recall': 0.4759887005649718, 'f1': 0.45297248717815713}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3538135593220339, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.1251840347601264, 'recall': 0.3538135593220339, 'f1': 0.18493541285377044}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.3977947136212094,0.36014554033178375,0.2084472935187694,0.3977947136212094,0.25680714921437503,0.04593164446756422,0.05995391747533078,0.1461162294870118,0.04593164446756422,0.11044915706531043
3,0.5165157288125971,2024-07-10 16:11:56.424183,2024-07-10 16:12:19.054751,0 days 00:00:22.630568,0.1,0.002327067708383781,4,32,COMPLETE,"{'accuracy': 0.5240112994350282, 'balanced_accuracy': 0.5567907186977289, 'precision': 0.47754874768537237, 'recall': 0.5240112994350282, 'f1': 0.4431732880930696}","{'accuracy': 0.547316384180791, 'balanced_accuracy': 0.5762289902350929, 'precision': 0.5288382860386919, 'recall': 0.547316384180791, 'f1': 0.4933504560521517}","{'accuracy': 0.5734463276836158, 'balanced_accuracy': 0.6001177506154001, 'precision': 0.5727358053768961, 'recall': 0.5734463276836158, 'f1': 0.5417610936230369}","{'accuracy': 0.5981638418079096, 'balanced_accuracy': 0.6274363977711852, 'precision': 0.6037386313674096, 'recall': 0.5981638418079096, 'f1': 0.5626947277916997}","{'accuracy': 0.5809187279151944, 'balanced_accuracy': 0.6073346733648156, 'precision': 0.5770053239398056, 'recall': 0.5809187279151944, 'f1': 0.5415990785030272}",0.5647713162045078,0.5935817061368446,0.5519733588816351,0.5647713162045078,0.5165157288125971,0.029228022146100437,0.027534967026345194,0.04952670048022503,0.029228022146100437,0.04825646665365118
4,0.549636340542936,2024-07-10 16:12:19.054751,2024-07-10 16:12:42.258376,0 days 00:00:23.203625,0.25,0.0038234752246751854,2,80,COMPLETE,"{'accuracy': 0.5296610169491526, 'balanced_accuracy': 0.5386955105764942, 'precision': 0.5221863126698817, 'recall': 0.5296610169491526, 'f1': 0.5112583395541326}","{'accuracy': 0.547316384180791, 'balanced_accuracy': 0.5555074342478966, 'precision': 0.5423065248147844, 'recall': 0.547316384180791, 'f1': 0.5303428947723102}","{'accuracy': 0.5642655367231638, 'balanced_accuracy': 0.5813736997562515, 'precision': 0.5600114500988592, 'recall': 0.5642655367231638, 'f1': 0.5444793408782366}","{'accuracy': 0.6045197740112994, 'balanced_accuracy': 0.6234523111263629, 'precision': 0.6043261467914234, 'recall': 0.6045197740112994, 'f1': 0.5844712822161648}","{'accuracy': 0.5936395759717314, 'balanced_accuracy': 0.605266165767418, 'precision': 0.5896903388672866, 'recall': 0.5936395759717314, 'f1': 0.5776298452938355}",0.5678804575672276,0.5808590242948847,0.5637041546484471,0.5678804575672276,0.549636340542936,0.03123558106781528,0.03475135441889571,0.033617903890135754,0.03123558106781528,0.031099887961045274
5,0.5260277091006501,2024-07-10 16:12:42.259377,2024-07-10 16:13:01.720088,0 days 00:00:19.460711,0.15000000000000002,0.005404103854647328,3,32,COMPLETE,"{'accuracy': 0.5169491525423728, 'balanced_accuracy': 0.5418698146721157, 'precision': 0.49481614848620886, 'recall': 0.5169491525423728, 'f1': 0.48730292752665744}","{'accuracy': 0.530367231638418, 'balanced_accuracy': 0.5445057775448757, 'precision': 0.5166048875372313, 'recall': 0.530367231638418, 'f1': 0.5116264410463761}","{'accuracy': 0.565677966101695, 'balanced_accuracy': 0.5968988651475895, 'precision': 0.5620480287427416, 'recall': 0.565677966101695, 'f1': 0.523596829704203}","{'accuracy': 0.5861581920903954, 'balanced_accuracy': 0.6146662640064439, 'precision': 0.5901188653689032, 'recall': 0.5861581920903954, 'f1': 0.5511794200035157}","{'accuracy': 0.5858657243816254, 'balanced_accuracy': 0.6151529421849439, 'precision': 0.5892191439211555, 'recall': 0.5858657243816254, 'f1': 0.5564329272224984}",0.5570036533509013,0.5826187327111938,0.5505614148112481,0.5570036533509013,0.5260277091006501,0.0319065509404396,0.03675089421860425,0.04316171531672511,0.0319065509404396,0.028591958023817927
6,0.5286624585442671,2024-07-10 16:13:01.721119,2024-07-10 16:13:27.722526,0 days 00:00:26.001407,0.1,0.01067748270948136,2,112,COMPLETE,"{'accuracy': 0.510593220338983, 'balanced_accuracy': 0.5132498198103436, 'precision': 0.5027297835402631, 'recall': 0.510593220338983, 'f1': 0.4837632002757742}","{'accuracy': 0.5324858757062146, 'balanced_accuracy': 0.5500087708429153, 'precision': 0.5224200298876306, 'recall': 0.5324858757062146, 'f1': 0.5039286005887565}","{'accuracy': 0.538135593220339, 'balanced_accuracy': 0.5136884842507974, 'precision': 0.5516642392597757, 'recall': 0.538135593220339, 'f1': 0.5146431151431461}","{'accuracy': 0.6045197740112994, 'balanced_accuracy': 0.6121646897763173, 'precision': 0.6024781642128629, 'recall': 0.6045197740112994, 'f1': 0.6031442207472408}","{'accuracy': 0.5858657243816254, 'balanced_accuracy': 0.6195773640755954, 'precision': 0.5993873848934705, 'recall': 0.5858657243816254, 'f1': 0.537833155966418}",0.5543200375316923,0.5617378257511938,0.5557359203588006,0.5543200375316923,0.5286624585442671,0.03926144834169105,0.051685775308036336,0.04479527151893056,0.03926144834169105,0.04597793955771542
7,0.4999062870394847,2024-07-10 16:13:27.723523,2024-07-10 16:13:48.499895,0 days 00:00:20.776372,0.35000000000000003,0.002193048555664369,3,16,COMPLETE,"{'accuracy': 0.5127118644067796, 'balanced_accuracy': 0.5260546059405974, 'precision': 0.50047323036194, 'recall': 0.5127118644067796, 'f1': 0.5002075215764309}","{'accuracy': 0.5247175141242938, 'balanced_accuracy': 0.5565668169529578, 'precision': 0.482102289598029, 'recall': 0.5247175141242938, 'f1': 0.44653863594051374}","{'accuracy': 0.5353107344632768, 'balanced_accuracy': 0.5660466748986197, 'precision': 0.5160661984859554, 'recall': 0.5353107344632768, 'f1': 0.5043025582901871}","{'accuracy': 0.5741525423728814, 'balanced_accuracy': 0.6008783343415705, 'precision': 0.5601778609366603, 'recall': 0.5741525423728814, 'f1': 0.5407173770836547}","{'accuracy': 0.5540636042402827, 'balanced_accuracy': 0.5844783607412861, 'precision': 0.5297076874260774, 'recall': 0.5540636042402827, 'f1': 0.5077653423066368}",0.5401912519215029,0.5668049585750062,0.5177054533617325,0.540191251921503,0.4999062870394847,0.024311438451068677,0.02845755549101248,0.02964448078392307,0.024311438451068677,0.03389260224319979
8,0.4258841824050627,2024-07-10 16:13:48.500902,2024-07-10 16:14:14.131451,0 days 00:00:25.630549,0.5,0.041380401125610165,1,128,COMPLETE,"{'accuracy': 0.4540960451977401, 'balanced_accuracy': 0.45432916391734973, 'precision': 0.44992531180544837, 'recall': 0.4540960451977401, 'f1': 0.4460897241965105}","{'accuracy': 0.4293785310734463, 'balanced_accuracy': 0.425387924043284, 'precision': 0.4299729106994022, 'recall': 0.4293785310734463, 'f1': 0.4265910829817364}","{'accuracy': 0.4491525423728814, 'balanced_accuracy': 0.4228614380543949, 'precision': 0.4606913475433708, 'recall': 0.4491525423728814, 'f1': 0.4196104922983501}","{'accuracy': 0.4823446327683616, 'balanced_accuracy': 0.4927538248093803, 'precision': 0.47287374550499206, 'recall': 0.4823446327683616, 'f1': 0.46755088867219374}","{'accuracy': 0.4367491166077738, 'balanced_accuracy': 0.40340606398432416, 'precision': 0.4147921852277952, 'recall': 0.4367491166077738, 'f1': 0.3695787238765227}",0.4503441736040406,0.43974768296174666,0.4456511001562018,0.45034417360404067,0.4258841824050627,0.020395524347430156,0.034764679897841926,0.023364656009011504,0.020395524347430156,0.03658736765034766
9,0.49729184334097043,2024-07-10 16:14:14.132443,2024-07-10 16:14:31.240612,0 days 00:00:17.108169,0.35000000000000003,0.007591104805282696,2,16,COMPLETE,"{'accuracy': 0.5021186440677966, 'balanced_accuracy': 0.5071062006554149, 'precision': 0.4839695696337584, 'recall': 0.5021186440677966, 'f1': 0.46968371304329826}","{'accuracy': 0.507768361581921, 'balanced_accuracy': 0.5033959813991497, 'precision': 0.5025865102042164, 'recall': 0.507768361581921, 'f1': 0.4884400712132581}","{'accuracy': 0.5063559322033898, 'balanced_accuracy': 0.48136040863719404, 'precision': 0.5325340573336804, 'recall': 0.5063559322033898, 'f1': 0.48599814028805527}","{'accuracy': 0.5550847457627118, 'balanced_accuracy': 0.5813202966401141, 'precision': 0.5455804331971692, 'recall': 0.5550847457627118, 'f1': 0.5271644151825655}","{'accuracy': 0.5547703180212014, 'balanced_accuracy': 0.5869206945736719, 'precision': 0.5472073767109074, 'recall': 0.5547703180212014, 'f1': 0.5151728769776752}",0.5252196003274041,0.532020716381109,0.5223755894159463,0.5252196003274041,0.49729184334097043,0.02719930935264574,0.048608208017266494,0.027950433436561894,0.02719930935264574,0.023346372144992047
