number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.4524645809087341,2024-07-10 12:07:00.220505,2024-07-10 12:07:02.387380,0 days 00:00:02.166875,gini,3,1,3,218,COMPLETE,"{'accuracy': 0.4901129943502825, 'balanced_accuracy': 0.4472598136265952, 'precision': 0.5722194065466837, 'recall': 0.4901129943502825, 'f1': 0.44273668316225195}","{'accuracy': 0.4901129943502825, 'balanced_accuracy': 0.4566796975955092, 'precision': 0.5566265812284251, 'recall': 0.4901129943502825, 'f1': 0.4496014812404885}","{'accuracy': 0.5084745762711864, 'balanced_accuracy': 0.46935710223830746, 'precision': 0.5608333032561694, 'recall': 0.5084745762711864, 'f1': 0.4703746851329014}","{'accuracy': 0.4915254237288136, 'balanced_accuracy': 0.45862453351517035, 'precision': 0.5419884458180643, 'recall': 0.4915254237288136, 'f1': 0.46106433812526754}","{'accuracy': 0.4826855123674912, 'balanced_accuracy': 0.4461960980744544, 'precision': 0.5482504398074058, 'recall': 0.4826855123674912, 'f1': 0.4385457168827613}",0.4925823002136112,0.45562344901000734,0.5559836353313498,0.4925823002136112,0.4524645809087341,0.009537069502194379,0.009454638316263569,0.011653331797050347,0.009537069502194379,0.013146213975454074
1,0.5603389755221297,2024-07-10 12:07:02.388384,2024-07-10 12:07:07.437716,0 days 00:00:05.049332,entropy,10,1,9,440,COMPLETE,"{'accuracy': 0.5812146892655368, 'balanced_accuracy': 0.6082744163793335, 'precision': 0.5785489279738544, 'recall': 0.5812146892655368, 'f1': 0.5588219304019477}","{'accuracy': 0.5911016949152542, 'balanced_accuracy': 0.618260537981346, 'precision': 0.592523295562451, 'recall': 0.5911016949152542, 'f1': 0.5629328154970008}","{'accuracy': 0.5925141242937854, 'balanced_accuracy': 0.6194959622392077, 'precision': 0.5998377647570653, 'recall': 0.5925141242937854, 'f1': 0.5665784832813646}","{'accuracy': 0.5896892655367232, 'balanced_accuracy': 0.6182833707303883, 'precision': 0.5964761484942053, 'recall': 0.5896892655367232, 'f1': 0.5592124620220332}","{'accuracy': 0.5809187279151944, 'balanced_accuracy': 0.6034697662046057, 'precision': 0.5767621014350142, 'recall': 0.5809187279151944, 'f1': 0.5541491864083024}",0.5870877003852988,0.6135568107069761,0.5888296476445181,0.5870877003852988,0.5603389755221297,0.005587370819714022,0.0072351761809041175,0.01054288291947174,0.005587370819714022,0.004678231790137573
2,0.5281087289109259,2024-07-10 12:07:07.437716,2024-07-10 12:07:08.969590,0 days 00:00:01.531874,log_loss,5,3,4,132,COMPLETE,"{'accuracy': 0.5374293785310734, 'balanced_accuracy': 0.5367908038412749, 'precision': 0.5335096184533946, 'recall': 0.5374293785310734, 'f1': 0.5319444420408448}","{'accuracy': 0.53954802259887, 'balanced_accuracy': 0.5432116617518744, 'precision': 0.5302637692470789, 'recall': 0.53954802259887, 'f1': 0.5223870320258918}","{'accuracy': 0.5374293785310734, 'balanced_accuracy': 0.5368920374020261, 'precision': 0.5288858829441031, 'recall': 0.5374293785310734, 'f1': 0.5272122554600427}","{'accuracy': 0.5522598870056498, 'balanced_accuracy': 0.5520997092533001, 'precision': 0.5463128010575363, 'recall': 0.5522598870056498, 'f1': 0.5424390823402017}","{'accuracy': 0.5286219081272084, 'balanced_accuracy': 0.5295722807507044, 'precision': 0.5230788132834713, 'recall': 0.5286219081272084, 'f1': 0.5165608326876487}",0.5390577149587751,0.539713298599836,0.5324101769971168,0.539057714958775,0.5281087289109259,0.008496275236928063,0.008441007744876794,0.008639933316279257,0.008496275236928063,0.009835739825998276
3,0.5499150012163321,2024-07-10 12:07:08.970589,2024-07-10 12:07:10.503249,0 days 00:00:01.532660,log_loss,9,3,3,112,COMPLETE,"{'accuracy': 0.5713276836158192, 'balanced_accuracy': 0.5986859409178887, 'precision': 0.5636440434594376, 'recall': 0.5713276836158192, 'f1': 0.5477562521126216}","{'accuracy': 0.5889830508474576, 'balanced_accuracy': 0.6133397004576017, 'precision': 0.5888728582276432, 'recall': 0.5889830508474576, 'f1': 0.5629781101009466}","{'accuracy': 0.5819209039548022, 'balanced_accuracy': 0.6069268016176005, 'precision': 0.5798412273691516, 'recall': 0.5819209039548022, 'f1': 0.5572603183058984}","{'accuracy': 0.576271186440678, 'balanced_accuracy': 0.6052063467056824, 'precision': 0.5766065840649375, 'recall': 0.576271186440678, 'f1': 0.5403880505065919}","{'accuracy': 0.5710247349823322, 'balanced_accuracy': 0.5945835507368882, 'precision': 0.5622304745604716, 'recall': 0.5710247349823322, 'f1': 0.5411922750556016}",0.5779055119682178,0.6037484680871323,0.5742390375363282,0.5779055119682178,0.5499150012163321,0.007617728961443761,0.00731170027862532,0.01126496781784284,0.007617728961443761,0.00995122399596213
4,0.3913345042527933,2024-07-10 12:07:10.503249,2024-07-10 12:07:13.560989,0 days 00:00:03.057740,entropy,2,4,10,317,COMPLETE,"{'accuracy': 0.4470338983050847, 'balanced_accuracy': 0.39816162920958814, 'precision': 0.3607519777121521, 'recall': 0.4470338983050847, 'f1': 0.3790576296004054}","{'accuracy': 0.4781073446327684, 'balanced_accuracy': 0.42933876305889135, 'precision': 0.37004893697615493, 'recall': 0.4781073446327684, 'f1': 0.4107955111241212}","{'accuracy': 0.4689265536723164, 'balanced_accuracy': 0.41968226861329133, 'precision': 0.3694607619515504, 'recall': 0.4689265536723164, 'f1': 0.40186245455554315}","{'accuracy': 0.4435028248587571, 'balanced_accuracy': 0.3961777845892615, 'precision': 0.35054043901441084, 'recall': 0.4435028248587571, 'f1': 0.37835724147005134}","{'accuracy': 0.4501766784452297, 'balanced_accuracy': 0.4036764983135496, 'precision': 0.3491651774468281, 'recall': 0.4501766784452297, 'f1': 0.3865996845138455}",0.45754945998283125,0.4094073887569164,0.35999345862021925,0.45754945998283125,0.3913345042527933,0.015118761402707626,0.014466906002419762,0.00997407992479465,0.015118761402707626,0.014414558999030776
5,0.5270097622088725,2024-07-10 12:07:13.561988,2024-07-10 12:07:17.539139,0 days 00:00:03.977151,log_loss,5,2,3,414,COMPLETE,"{'accuracy': 0.5402542372881356, 'balanced_accuracy': 0.5478076515278797, 'precision': 0.5316165592907174, 'recall': 0.5402542372881356, 'f1': 0.5307369859882958}","{'accuracy': 0.5466101694915254, 'balanced_accuracy': 0.5478627403275743, 'precision': 0.5393733454722025, 'recall': 0.5466101694915254, 'f1': 0.5301247535376447}","{'accuracy': 0.5416666666666666, 'balanced_accuracy': 0.5512584936636543, 'precision': 0.530054785692313, 'recall': 0.5416666666666666, 'f1': 0.5250151654445981}","{'accuracy': 0.5543785310734464, 'balanced_accuracy': 0.5657843660108446, 'precision': 0.5453691492254655, 'recall': 0.5543785310734464, 'f1': 0.5386097724445839}","{'accuracy': 0.5265017667844523, 'balanced_accuracy': 0.5326940726738842, 'precision': 0.5161067089394336, 'recall': 0.5265017667844523, 'f1': 0.5105621336292399}",0.5418822742608452,0.5490814648407675,0.5325041097240264,0.5418822742608451,0.5270097622088725,0.010219667666922023,0.011783260094509258,0.011049404142443287,0.010219667666922023,0.010400222445871465
6,0.509328845491545,2024-07-10 12:07:17.540143,2024-07-10 12:07:18.498262,0 days 00:00:00.958119,gini,4,3,6,65,COMPLETE,"{'accuracy': 0.5233050847457628, 'balanced_accuracy': 0.5057219702026147, 'precision': 0.5381551600570775, 'recall': 0.5233050847457628, 'f1': 0.5148697234202361}","{'accuracy': 0.5324858757062146, 'balanced_accuracy': 0.5307979046279113, 'precision': 0.5273474564810766, 'recall': 0.5324858757062146, 'f1': 0.51857541804672}","{'accuracy': 0.536723163841808, 'balanced_accuracy': 0.5290675174040548, 'precision': 0.538789622578976, 'recall': 0.536723163841808, 'f1': 0.5317766230635123}","{'accuracy': 0.5084745762711864, 'balanced_accuracy': 0.4903584155907246, 'precision': 0.5140835095667539, 'recall': 0.5084745762711864, 'f1': 0.49466921218842524}","{'accuracy': 0.5074204946996467, 'balanced_accuracy': 0.48047062420563, 'precision': 0.5344971377622818, 'recall': 0.5074204946996467, 'f1': 0.4867532507388315}",0.5216818390529238,0.5072832864061871,0.5305745772892332,0.5216818390529238,0.509328845491545,0.013448246344210536,0.022557137478915176,0.010279935654166619,0.013448246344210536,0.018334840312775907
7,0.5674512052590267,2024-07-10 12:07:18.499260,2024-07-10 12:07:20.242095,0 days 00:00:01.742835,gini,10,4,7,133,COMPLETE,"{'accuracy': 0.5790960451977402, 'balanced_accuracy': 0.6035713989185078, 'precision': 0.5728389065528395, 'recall': 0.5790960451977402, 'f1': 0.5614258270814194}","{'accuracy': 0.586864406779661, 'balanced_accuracy': 0.6111531970105837, 'precision': 0.584009328965954, 'recall': 0.586864406779661, 'f1': 0.5653192862901911}","{'accuracy': 0.5918079096045198, 'balanced_accuracy': 0.6128404373459054, 'precision': 0.589360659513137, 'recall': 0.5918079096045198, 'f1': 0.5769513093218257}","{'accuracy': 0.586864406779661, 'balanced_accuracy': 0.612763818070348, 'precision': 0.5852949516756607, 'recall': 0.586864406779661, 'f1': 0.5645041322683323}","{'accuracy': 0.5865724381625441, 'balanced_accuracy': 0.6061421930956393, 'precision': 0.5824510552068478, 'recall': 0.5865724381625441, 'f1': 0.5690554713333653}",0.5862410413048252,0.6092942088881969,0.5827909803828878,0.5862410413048252,0.5674512052590267,0.004553240190901019,0.004205814977385769,0.006125239832515936,0.004553240190901019,0.005965759522613852
8,0.5257894446082775,2024-07-10 12:07:20.242095,2024-07-10 12:07:21.438954,0 days 00:00:01.196859,log_loss,5,4,4,89,COMPLETE,"{'accuracy': 0.5480225988700564, 'balanced_accuracy': 0.5535097405803077, 'precision': 0.542006582355547, 'recall': 0.5480225988700564, 'f1': 0.5409507684759242}","{'accuracy': 0.5331920903954802, 'balanced_accuracy': 0.535059487838831, 'precision': 0.5235786004223059, 'recall': 0.5331920903954802, 'f1': 0.5158343234141141}","{'accuracy': 0.5494350282485876, 'balanced_accuracy': 0.548822899071105, 'precision': 0.5438166844219897, 'recall': 0.5494350282485876, 'f1': 0.5424845677953808}","{'accuracy': 0.5423728813559322, 'balanced_accuracy': 0.5469967187475459, 'precision': 0.5315702328168025, 'recall': 0.5423728813559322, 'f1': 0.5286209057703567}","{'accuracy': 0.5130742049469965, 'balanced_accuracy': 0.5105621629300332, 'precision': 0.5105249946401423, 'recall': 0.5130742049469965, 'f1': 0.5010566575856116}",0.5372193607634106,0.5389902018335645,0.5302994189313576,0.5372193607634106,0.5257894446082775,0.014930662378224923,0.01728588413913406,0.013762143430412358,0.014930662378224923,0.017517314604867544
9,0.549544200519869,2024-07-10 12:07:21.439954,2024-07-10 12:07:23.918620,0 days 00:00:02.478666,entropy,9,4,2,210,COMPLETE,"{'accuracy': 0.5699152542372882, 'balanced_accuracy': 0.5979873903466152, 'precision': 0.5637496010331189, 'recall': 0.5699152542372882, 'f1': 0.5440783368255084}","{'accuracy': 0.5819209039548022, 'balanced_accuracy': 0.6066530300816378, 'precision': 0.5831882887250882, 'recall': 0.5819209039548022, 'f1': 0.5539431471804331}","{'accuracy': 0.5805084745762712, 'balanced_accuracy': 0.6050592559416578, 'precision': 0.5776916622239643, 'recall': 0.5805084745762712, 'f1': 0.5564090255813933}","{'accuracy': 0.5833333333333334, 'balanced_accuracy': 0.6108359249230654, 'precision': 0.5855752025586743, 'recall': 0.5833333333333334, 'f1': 0.5521658177485647}","{'accuracy': 0.568904593639576, 'balanced_accuracy': 0.5918219269501055, 'precision': 0.564137686369967, 'recall': 0.568904593639576, 'f1': 0.5411246752634448}",0.5769165119482542,0.6024715056486164,0.5748684881821624,0.5769165119482542,0.549544200519869,0.006934157773020741,0.007544301234363645,0.010375486548234279,0.006934157773020741,0.006597603792486111
10,0.5530639986572561,2024-07-10 12:07:23.918620,2024-07-10 12:07:26.975057,0 days 00:00:03.056437,gini,7,2,7,281,COMPLETE,"{'accuracy': 0.565677966101695, 'balanced_accuracy': 0.5813222401340974, 'precision': 0.5573546989173018, 'recall': 0.565677966101695, 'f1': 0.5544676905378074}","{'accuracy': 0.5734463276836158, 'balanced_accuracy': 0.5928752905391295, 'precision': 0.5667540060595632, 'recall': 0.5734463276836158, 'f1': 0.550033371362885}","{'accuracy': 0.5713276836158192, 'balanced_accuracy': 0.591337563724788, 'precision': 0.5645294266047775, 'recall': 0.5713276836158192, 'f1': 0.5515877839395718}","{'accuracy': 0.5833333333333334, 'balanced_accuracy': 0.6039231878558016, 'precision': 0.5770437025553883, 'recall': 0.5833333333333334, 'f1': 0.5627481469970349}","{'accuracy': 0.5646643109540636, 'balanced_accuracy': 0.5795172030844289, 'precision': 0.5549957643216441, 'recall': 0.5646643109540636, 'f1': 0.5464830004489818}",0.5716899243377054,0.5897950970676491,0.564135519691735,0.5716899243377054,0.5530639986572561,0.007488124420399434,0.009860199717490052,0.008705565417539614,0.007488124420399434,0.006132424664636552
11,0.5606034915417034,2024-07-10 12:07:26.976056,2024-07-10 12:07:32.474739,0 days 00:00:05.498683,entropy,10,1,9,459,COMPLETE,"{'accuracy': 0.5790960451977402, 'balanced_accuracy': 0.6061498502346181, 'precision': 0.5752670778900597, 'recall': 0.5790960451977402, 'f1': 0.5563609889404928}","{'accuracy': 0.5911016949152542, 'balanced_accuracy': 0.6176677128217136, 'precision': 0.591586632678367, 'recall': 0.5911016949152542, 'f1': 0.5637088372797396}","{'accuracy': 0.5932203389830508, 'balanced_accuracy': 0.6205696137597894, 'precision': 0.6018647670713944, 'recall': 0.5932203389830508, 'f1': 0.5661255999980086}","{'accuracy': 0.5889830508474576, 'balanced_accuracy': 0.6175620832626668, 'precision': 0.5943568023843182, 'recall': 0.5889830508474576, 'f1': 0.5590002328675301}","{'accuracy': 0.5844522968197879, 'balanced_accuracy': 0.6066845432319039, 'precision': 0.5821266802803247, 'recall': 0.5844522968197879, 'f1': 0.5578217986227461}",0.5873706853526581,0.6137267606621384,0.5890403920608928,0.5873706853526581,0.5606034915417034,0.0056507801178850275,0.006783580172954037,0.010448872525927315,0.0056507801178850275,0.004136542522110264
12,0.5583699138111425,2024-07-10 12:07:32.474739,2024-07-10 12:07:37.538695,0 days 00:00:05.063956,gini,8,2,8,497,COMPLETE,"{'accuracy': 0.5769774011299436, 'balanced_accuracy': 0.6021515608795127, 'precision': 0.5706225001932883, 'recall': 0.5769774011299436, 'f1': 0.5577412775867949}","{'accuracy': 0.5833333333333334, 'balanced_accuracy': 0.6060540273875586, 'precision': 0.5797947927746677, 'recall': 0.5833333333333334, 'f1': 0.5599973648416272}","{'accuracy': 0.5875706214689266, 'balanced_accuracy': 0.6108733437927685, 'precision': 0.5874131495197797, 'recall': 0.5875706214689266, 'f1': 0.5673747775973103}","{'accuracy': 0.5805084745762712, 'balanced_accuracy': 0.6061163481002386, 'precision': 0.5765526875784899, 'recall': 0.5805084745762712, 'f1': 0.5542096714799488}","{'accuracy': 0.5738515901060071, 'balanced_accuracy': 0.5931738864830782, 'precision': 0.5671662208799387, 'recall': 0.5738515901060071, 'f1': 0.5525264775500319}",0.5804482841228964,0.6036738333286313,0.5763098701892329,0.5804482841228963,0.5583699138111425,0.005352994998391311,0.006633821490281433,0.00792841342522693,0.005352994998391311,0.0058220425058251885
13,0.5591993598653561,2024-07-10 12:07:37.539725,2024-07-10 12:07:41.967228,0 days 00:00:04.427503,entropy,10,1,6,373,COMPLETE,"{'accuracy': 0.5847457627118644, 'balanced_accuracy': 0.6124903340921686, 'precision': 0.5829686177802152, 'recall': 0.5847457627118644, 'f1': 0.5607606958175836}","{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6278490134427909, 'precision': 0.6055122886351038, 'recall': 0.6009887005649718, 'f1': 0.5741923698804583}","{'accuracy': 0.5805084745762712, 'balanced_accuracy': 0.6066698770014219, 'precision': 0.5798171306625628, 'recall': 0.5805084745762712, 'f1': 0.5555206292864673}","{'accuracy': 0.5840395480225988, 'balanced_accuracy': 0.6137213623517346, 'precision': 0.5867720224991013, 'recall': 0.5840395480225988, 'f1': 0.5523611151103144}","{'accuracy': 0.5802120141342756, 'balanced_accuracy': 0.6038320985580325, 'precision': 0.5779024109793386, 'recall': 0.5802120141342756, 'f1': 0.5531619892319565}",0.5860989000019964,0.6129125370892297,0.5865944941112643,0.5860989000019963,0.5591993598653561,0.00856863982155777,0.009291877480187243,0.011096693309617763,0.00856863982155777,0.00899961962301208
14,0.553493884175446,2024-07-10 12:07:41.968229,2024-07-10 12:07:44.161680,0 days 00:00:02.193451,gini,7,3,8,194,COMPLETE,"{'accuracy': 0.5663841807909604, 'balanced_accuracy': 0.5869146870395605, 'precision': 0.5570802823181629, 'recall': 0.5663841807909604, 'f1': 0.5513043639162997}","{'accuracy': 0.5734463276836158, 'balanced_accuracy': 0.5915777372737766, 'precision': 0.5676518059780772, 'recall': 0.5734463276836158, 'f1': 0.5519686299417206}","{'accuracy': 0.5755649717514124, 'balanced_accuracy': 0.5917499876912048, 'precision': 0.5699458040861393, 'recall': 0.5755649717514124, 'f1': 0.5612237878738976}","{'accuracy': 0.5720338983050848, 'balanced_accuracy': 0.5915945841935608, 'precision': 0.5630918072538988, 'recall': 0.5720338983050848, 'f1': 0.5531440038647166}","{'accuracy': 0.568904593639576, 'balanced_accuracy': 0.5867792018425262, 'precision': 0.5607202510714313, 'recall': 0.568904593639576, 'f1': 0.549828635280595}",0.5712667944341299,0.5897232396081258,0.5636979901415419,0.5712667944341299,0.553493884175446,0.0036480491487747998,0.0026269814349019023,0.0051888409894235744,0.0036480491487747998,0.004484090663754685
