number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.4936124821501238,2024-07-10 12:11:39.344593,2024-07-10 12:13:05.094674,0 days 00:01:25.750081,0.0030960101581081526,2.8698379250004886,linear,COMPLETE,"{'accuracy': 0.509180790960452, 'balanced_accuracy': 0.531156036362746, 'precision': 0.4916309179024971, 'recall': 0.509180790960452, 'f1': 0.48920387499410206}","{'accuracy': 0.5324858757062146, 'balanced_accuracy': 0.5538894589804574, 'precision': 0.5184318818503676, 'recall': 0.5324858757062146, 'f1': 0.508055147021634}","{'accuracy': 0.5098870056497176, 'balanced_accuracy': 0.5299309939324383, 'precision': 0.4948708928130348, 'recall': 0.5098870056497176, 'f1': 0.49202626647646597}","{'accuracy': 0.5240112994350282, 'balanced_accuracy': 0.5501671061078436, 'precision': 0.5075649258454789, 'recall': 0.5240112994350282, 'f1': 0.49431045756322844}","{'accuracy': 0.5067137809187279, 'balanced_accuracy': 0.526337896513684, 'precision': 0.4889804095565862, 'recall': 0.5067137809187279, 'f1': 0.4844666646951888}",0.516455750534028,0.5382962983794338,0.5002958055935929,0.516455750534028,0.4936124821501238,0.011236443502829622,0.01272819477572167,0.012392593716391637,0.011236443502829622,0.008869549205096777
1,0.21534102145881046,2024-07-10 12:13:05.095675,2024-07-10 12:14:43.585546,0 days 00:01:38.489871,1.4510161404606145e-09,0.33723885299463113,sigmoid,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
2,0.49507269670281673,2024-07-10 12:14:43.585546,2024-07-10 12:16:08.962637,0 days 00:01:25.377091,4455052.394518218,2.1663579511421804e-08,sigmoid,COMPLETE,"{'accuracy': 0.5049435028248588, 'balanced_accuracy': 0.5236903455098652, 'precision': 0.4940278523413702, 'recall': 0.5049435028248588, 'f1': 0.4944307641925554}","{'accuracy': 0.5218926553672316, 'balanced_accuracy': 0.5397143608551649, 'precision': 0.5106860497769911, 'recall': 0.5218926553672316, 'f1': 0.5091896680231599}","{'accuracy': 0.518361581920904, 'balanced_accuracy': 0.5367007486761898, 'precision': 0.5078460413132636, 'recall': 0.518361581920904, 'f1': 0.5065736332211931}","{'accuracy': 0.5007062146892656, 'balanced_accuracy': 0.5244921987358245, 'precision': 0.48283000969588485, 'recall': 0.5007062146892656, 'f1': 0.475846529227273}","{'accuracy': 0.5053003533568905, 'balanced_accuracy': 0.5248599119385062, 'precision': 0.49263318235204484, 'recall': 0.5053003533568905, 'f1': 0.48932288884990205}",0.5102408616318301,0.5298915131431101,0.49760462709591086,0.5102408616318301,0.49507269670281673,0.009288306087893753,0.007677533986992051,0.011530482257213466,0.009288306087893753,0.013552474898980075
3,0.49320999979417834,2024-07-10 12:16:08.963637,2024-07-10 12:17:28.226003,0 days 00:01:19.262366,0.043541197871659006,1.5977931030670635e-07,linear,COMPLETE,"{'accuracy': 0.4936440677966102, 'balanced_accuracy': 0.5116974506858895, 'precision': 0.4819113180215728, 'recall': 0.4936440677966102, 'f1': 0.48333259065735296}","{'accuracy': 0.530367231638418, 'balanced_accuracy': 0.5496447226893219, 'precision': 0.5182350428751527, 'recall': 0.530367231638418, 'f1': 0.5139257888609106}","{'accuracy': 0.5211864406779662, 'balanced_accuracy': 0.5384561997008553, 'precision': 0.5111245394605992, 'recall': 0.5211864406779662, 'f1': 0.5086633381549747}","{'accuracy': 0.5035310734463276, 'balanced_accuracy': 0.5298212559328789, 'precision': 0.48304439482305667, 'recall': 0.5035310734463276, 'f1': 0.47464952256904647}","{'accuracy': 0.5024734982332155, 'balanced_accuracy': 0.5202919623561326, 'precision': 0.4884183908564751, 'recall': 0.5024734982332155, 'f1': 0.4854787587286071}",0.5102404623585075,0.5299823182730157,0.49654673720737125,0.5102404623585075,0.49320999979417834,0.015047285691856843,0.014888604160863121,0.01692242358736449,0.015047285691856843,0.01710099556784237
4,0.5252171527219194,2024-07-10 12:17:28.227004,2024-07-10 12:19:07.685547,0 days 00:01:39.458543,0.13225121917959448,0.04334465747226369,rbf,COMPLETE,"{'accuracy': 0.5360169491525424, 'balanced_accuracy': 0.5487474300266807, 'precision': 0.5296642874660613, 'recall': 0.5360169491525424, 'f1': 0.5310073587219858}","{'accuracy': 0.528954802259887, 'balanced_accuracy': 0.5394383285200788, 'precision': 0.5231339296445082, 'recall': 0.528954802259887, 'f1': 0.5216703873112246}","{'accuracy': 0.5402542372881356, 'balanced_accuracy': 0.5462076998534526, 'precision': 0.5338718525517471, 'recall': 0.5402542372881356, 'f1': 0.534667659862667}","{'accuracy': 0.538135593220339, 'balanced_accuracy': 0.5518065159985516, 'precision': 0.5291167153497661, 'recall': 0.538135593220339, 'f1': 0.5289880748527378}","{'accuracy': 0.5173144876325089, 'balanced_accuracy': 0.5244023739213745, 'precision': 0.509117738383502, 'recall': 0.5173144876325089, 'f1': 0.5097522828609815}",0.5321352139106825,0.5421204696640276,0.524980904679117,0.5321352139106825,0.5252171527219194,0.009310745225710224,0.010903741854587746,0.009658407218676494,0.009310745225710224,0.009859008179724108
5,0.21534102145881046,2024-07-10 12:19:07.686548,2024-07-10 12:20:53.982369,0 days 00:01:46.295821,141.5458165193241,7.512169189276564e-09,rbf,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
6,0.21534102145881046,2024-07-10 12:20:53.982369,2024-07-10 12:22:26.459385,0 days 00:01:32.477016,0.0001236731388656227,1.1868429491784135e-09,linear,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
7,0.21534102145881046,2024-07-10 12:22:26.460385,2024-07-10 12:24:00.160216,0 days 00:01:33.699831,4.872708398361315e-10,1.0058296249730971,poly,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
8,0.48106335715854137,2024-07-10 12:24:00.161216,2024-07-10 12:27:59.805881,0 days 00:03:59.644665,8.594202586649937,1.079938466818161e-08,linear,COMPLETE,"{'accuracy': 0.480225988700565, 'balanced_accuracy': 0.4953312614100945, 'precision': 0.4731412389152831, 'recall': 0.480225988700565, 'f1': 0.47490706882690314}","{'accuracy': 0.5098870056497176, 'balanced_accuracy': 0.5233812903033718, 'precision': 0.5026357129246258, 'recall': 0.5098870056497176, 'f1': 0.5032102198338536}","{'accuracy': 0.4851694915254237, 'balanced_accuracy': 0.49901479728723147, 'precision': 0.48139153465756485, 'recall': 0.4851694915254237, 'f1': 0.48204878111007093}","{'accuracy': 0.4738700564971751, 'balanced_accuracy': 0.48648034522058864, 'precision': 0.4651786116731563, 'recall': 0.4738700564971751, 'f1': 0.4671053334074317}","{'accuracy': 0.4826855123674912, 'balanced_accuracy': 0.49609856132032376, 'precision': 0.47680690057339636, 'recall': 0.4826855123674912, 'f1': 0.4780453826144476}",0.4863676109480745,0.500061251108322,0.47983079974880527,0.4863676109480745,0.48106335715854137,0.013802750254243185,0.013851317728749197,0.014063079003055824,0.013802750254243185,0.013539655369792382
9,0.39534747589515773,2024-07-10 12:27:59.806881,2024-07-10 12:28:56.965856,0 days 00:00:57.158975,90.7819644340428,1.3823454432319928,sigmoid,COMPLETE,"{'accuracy': 0.3926553672316384, 'balanced_accuracy': 0.3967067322578699, 'precision': 0.39755272008848896, 'recall': 0.3926553672316384, 'f1': 0.393024116347317}","{'accuracy': 0.3771186440677966, 'balanced_accuracy': 0.3920367674158083, 'precision': 0.38083959111866766, 'recall': 0.3771186440677966, 'f1': 0.3692408556006394}","{'accuracy': 0.3855932203389831, 'balanced_accuracy': 0.3945661818667199, 'precision': 0.39750271078648663, 'recall': 0.3855932203389831, 'f1': 0.3838396055596489}","{'accuracy': 0.4230225988700565, 'balanced_accuracy': 0.43058368333412395, 'precision': 0.4369814722259516, 'recall': 0.4230225988700565, 'f1': 0.4240920687324804}","{'accuracy': 0.407773851590106, 'balanced_accuracy': 0.4189961521580059, 'precision': 0.4176541063299569, 'recall': 0.407773851590106, 'f1': 0.4065407332357031}",0.3972327364197161,0.40657790340650557,0.4061061201099103,0.39723273641971607,0.39534747589515773,0.018284142505611615,0.0172021545313541,0.021634579642357564,0.018284142505611615,0.02104118182116155
