number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,40.59800263521771,2024-07-10 16:56:20.263579,2024-07-10 16:56:20.941477,0 days 00:00:00.677898,5,3,10,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8048763229858, 'rmse': 40.51919145692552, 'mae': 30.692776113024475, 'mdae': 23.54854658861284, 'r2': 0.4290364526524577}",1648.3743141736254,40.59800263521771,30.935407197896062,23.751874907052553,0.41647519317189374,38.04063310552939,0.4697023052967968,0.3922194670010095,0.589672095590448,0.021355536346948475
1,41.14015269426725,2024-07-10 16:56:20.942474,2024-07-10 16:56:21.760097,0 days 00:00:00.817623,7,1,3,COMPLETE,"{'mse': 1777.7736626101032, 'rmse': 42.163653335664634, 'mae': 31.5618951211813, 'mdae': 22.19365033254939, 'r2': 0.40492297463416504}","{'mse': 1669.9770661241203, 'rmse': 40.86535288143393, 'mae': 30.605254016062112, 'mdae': 22.44447245734161, 'r2': 0.3913467711309423}","{'mse': 1686.7139840963216, 'rmse': 41.069623617660795, 'mae': 31.046065592364265, 'mdae': 22.970357876774823, 'r2': 0.39263982968238864}","{'mse': 1702.8699298423999, 'rmse': 41.26584459140997, 'mae': 30.756944748474574, 'mdae': 23.06572592, 'r2': 0.3813362977848854}","{'mse': 1627.0162139352517, 'rmse': 40.33628904516691, 'mae': 30.11850917260449, 'mdae': 22.179900734761972, 'r2': 0.43417944330816627}",1692.8701713216392,41.14015269426725,30.81773373013735,22.57082146428556,0.4008850633081096,55.24340370946965,0.6689615217023509,0.5347124288509186,0.4229659903978439,0.020407949407932863
2,42.455373000539545,2024-07-10 16:56:21.761103,2024-07-10 16:56:22.161371,0 days 00:00:00.400268,2,3,9,COMPLETE,"{'mse': 1806.5308588012333, 'rmse': 42.50330409275534, 'mae': 32.642915953426595, 'mdae': 26.115011866473576, 'r2': 0.3952970322956141}","{'mse': 1801.0052960553373, 'rmse': 42.438252745080554, 'mae': 33.28009718598077, 'mdae': 27.38010984151702, 'r2': 0.3435911720641074}","{'mse': 1772.9731913293122, 'rmse': 42.10668820186779, 'mae': 32.77044312035972, 'mdae': 27.147208523116234, 'r2': 0.36157919504576996}","{'mse': 1829.614949071384, 'rmse': 42.77399851628772, 'mae': 33.02528985634635, 'mdae': 27.10407230046451, 'r2': 0.33528900934589934}","{'mse': 1802.3948821831345, 'rmse': 42.4546214467063, 'mae': 33.06343233716612, 'mdae': 27.352915243379698, 'r2': 0.37318874459848606}",1802.5038354880803,42.455373000539545,32.95643569065591,27.019863554990206,0.36178903066997536,20.1590291939952,0.2375365054532128,0.2519096087344643,0.5202800318165739,0.023907095545049595
3,41.36980148032917,2024-07-10 16:56:22.162370,2024-07-10 16:56:23.033940,0 days 00:00:00.871570,8,4,2,COMPLETE,"{'mse': 1759.081417580597, 'rmse': 41.94140457329245, 'mae': 31.3889881342161, 'mdae': 22.771570015208866, 'r2': 0.41117985975037086}","{'mse': 1706.032980975882, 'rmse': 41.304152103340435, 'mae': 31.022019733220702, 'mdae': 23.393189876637187, 'r2': 0.37820554336229606}","{'mse': 1671.6492618042541, 'rmse': 40.88580758410251, 'mae': 30.678010007006034, 'mdae': 22.915654589663674, 'r2': 0.3980644081132123}","{'mse': 1726.6624569725857, 'rmse': 41.553128124999034, 'mae': 30.9675504079955, 'mdae': 22.39241830133504, 'r2': 0.3726923181940446}","{'mse': 1694.5172964952005, 'rmse': 41.16451501591146, 'mae': 30.46994204264448, 'mdae': 21.787667930760755, 'r2': 0.4107048769306172}",1711.5886827657039,41.36980148032917,30.905302065016564,22.652100142721103,0.39416940127010824,33.1671295387009,0.4003252487939955,0.35094519248980177,0.6015865894598167,0.01798651292005212
4,42.49242579400287,2024-07-10 16:56:23.034940,2024-07-10 16:56:23.979187,0 days 00:00:00.944247,9,1,3,COMPLETE,"{'mse': 1847.8568456801704, 'rmse': 42.98670545273469, 'mae': 31.719677597106077, 'mdae': 21.94669249098311, 'r2': 0.3814639185199721}","{'mse': 1829.2004207193954, 'rmse': 42.769152677126954, 'mae': 31.478382216886832, 'mdae': 22.48713144051194, 'r2': 0.3333149509031942}","{'mse': 1749.9051291079209, 'rmse': 41.83186738729125, 'mae': 31.192897832630905, 'mdae': 22.53828423266146, 'r2': 0.3698856550216667}","{'mse': 1864.163845658981, 'rmse': 43.17596374904654, 'mae': 31.548768260128206, 'mdae': 22.0444329372415, 'r2': 0.3227371708902703}","{'mse': 1738.759873732689, 'rmse': 41.69843970381493, 'mae': 30.66914364484793, 'mdae': 21.739574731583332, 'r2': 0.3953188227121106}",1805.9772229798314,42.49242579400287,31.32177391031999,22.151223166596267,0.3605441036094428,57.75195780354993,0.6809672541602548,0.41137429650477736,0.3483324639441279,0.031244900568251598
5,41.77671676080736,2024-07-10 16:56:23.979187,2024-07-10 16:56:24.485062,0 days 00:00:00.505875,3,3,4,COMPLETE,"{'mse': 1754.519075316113, 'rmse': 41.886979782697544, 'mae': 32.052425565668486, 'mdae': 24.609953189924973, 'r2': 0.41270701988360403}","{'mse': 1727.4767543473686, 'rmse': 41.562925238093726, 'mae': 32.342571539471066, 'mdae': 25.720034029111943, 'r2': 0.37038997381559335}","{'mse': 1738.3814542540622, 'rmse': 41.693901883297784, 'mae': 32.45064182271707, 'mdae': 25.97639774272511, 'r2': 0.3740351558783127}","{'mse': 1772.448150037244, 'rmse': 42.10045308589023, 'mae': 32.491136732160406, 'mdae': 25.643078192652638, 'r2': 0.356058078617985}","{'mse': 1733.8332876919358, 'rmse': 41.6393238140575, 'mae': 32.28661960425742, 'mdae': 25.61401245395522, 'r2': 0.39703212073108174}",1745.3317443293447,41.77671676080736,32.32467905285489,25.51269512167398,0.3820444697853154,18.159214008357008,0.21702827184048382,0.17281883750125526,0.5244562626338818,0.022583680893915815
6,40.597992102073036,2024-07-10 16:56:24.486062,2024-07-10 16:56:25.166318,0 days 00:00:00.680256,5,3,4,COMPLETE,"{'mse': 1664.9463358718072, 'rmse': 40.80375394337887, 'mae': 30.93930598596442, 'mdae': 22.953743820542396, 'r2': 0.44268984641739806}","{'mse': 1590.3853861527139, 'rmse': 39.879636233956724, 'mae': 30.430151309298108, 'mdae': 23.79596078429231, 'r2': 0.4203553928589898}","{'mse': 1694.236519902227, 'rmse': 41.16110445435383, 'mae': 31.417892634856464, 'mdae': 23.87540573009663, 'r2': 0.38993107842321006}","{'mse': 1650.4984526183925, 'rmse': 40.62632708747362, 'mae': 31.196909946336838, 'mdae': 24.58571761171859, 'r2': 0.40036319550741295}","{'mse': 1641.8006083807015, 'rmse': 40.51913879120213, 'mae': 30.69258786736185, 'mdae': 23.54854658861284, 'r2': 0.4290379368967193}",1648.3734605851685,40.597992102073036,30.93536954876354,23.751874907052553,0.4164754900207461,38.040817416340545,0.4697045150727411,0.39224858764119763,0.589672095590448,0.021355754613103347
7,41.77671676080736,2024-07-10 16:56:25.166318,2024-07-10 16:56:25.718371,0 days 00:00:00.552053,3,2,4,COMPLETE,"{'mse': 1754.519075316113, 'rmse': 41.886979782697544, 'mae': 32.052425565668486, 'mdae': 24.609953189924973, 'r2': 0.41270701988360403}","{'mse': 1727.4767543473686, 'rmse': 41.562925238093726, 'mae': 32.342571539471066, 'mdae': 25.720034029111943, 'r2': 0.37038997381559335}","{'mse': 1738.3814542540622, 'rmse': 41.693901883297784, 'mae': 32.45064182271707, 'mdae': 25.97639774272511, 'r2': 0.3740351558783127}","{'mse': 1772.448150037244, 'rmse': 42.10045308589023, 'mae': 32.491136732160406, 'mdae': 25.643078192652638, 'r2': 0.356058078617985}","{'mse': 1733.8332876919358, 'rmse': 41.6393238140575, 'mae': 32.28661960425742, 'mdae': 25.61401245395522, 'r2': 0.39703212073108174}",1745.3317443293447,41.77671676080736,32.32467905285489,25.51269512167398,0.3820444697853154,18.159214008357008,0.21702827184048382,0.17281883750125526,0.5244562626338818,0.022583680893915815
8,40.691595557066734,2024-07-10 16:56:25.719372,2024-07-10 16:56:26.501490,0 days 00:00:00.782118,6,1,9,COMPLETE,"{'mse': 1699.4701985870076, 'rmse': 41.22463096968859, 'mae': 30.83269310496686, 'mdae': 22.525273038363157, 'r2': 0.4311336185573582}","{'mse': 1626.6127831788817, 'rmse': 40.33128789387814, 'mae': 30.52824585817139, 'mdae': 23.15666262049906, 'r2': 0.4071516653223749}","{'mse': 1662.5568833835844, 'rmse': 40.77446361858834, 'mae': 30.87743919754929, 'mdae': 22.929713483195265, 'r2': 0.4013384359319411}","{'mse': 1664.123067510313, 'rmse': 40.79366455113236, 'mae': 30.82644037822564, 'mdae': 23.374018351024617, 'r2': 0.39541328445280255}","{'mse': 1626.825969910861, 'rmse': 40.333930752046236, 'mae': 30.538389534846335, 'mdae': 22.840218292833313, 'r2': 0.434245603668995}",1655.9177805141294,40.691595557066734,30.720641614751905,22.96517715718308,0.4138565215866944,30.46856517212055,0.3738842304716949,0.17216732018821282,0.32179412213018244,0.0177202095773047
9,40.62733370004611,2024-07-10 16:56:26.502489,2024-07-10 16:56:27.300134,0 days 00:00:00.797645,6,1,7,COMPLETE,"{'mse': 1699.5473991065517, 'rmse': 41.225567298783794, 'mae': 30.802580822910585, 'mdae': 22.525273038363242, 'r2': 0.431107777103807}","{'mse': 1626.6123765216125, 'rmse': 40.331282852416344, 'mae': 30.52794134465073, 'mdae': 23.15666262049906, 'r2': 0.4071518135359432}","{'mse': 1666.4246155712365, 'rmse': 40.82186443036668, 'mae': 30.93503392645981, 'mdae': 22.964560247356122, 'r2': 0.39994572412520646}","{'mse': 1633.9159255325487, 'rmse': 40.42172590986868, 'mae': 30.73954905571417, 'mdae': 23.37401835102463, 'r2': 0.40638773526774563}","{'mse': 1627.0112899775024, 'rmse': 40.336228008795054, 'mae': 30.545197502305495, 'mdae': 22.840218292833313, 'r2': 0.43418115569215543}",1650.7023213418902,40.62733370004611,30.710060530408157,22.97214651001527,0.4157548411449715,31.844958982899733,0.390636926998844,0.17348618276148006,0.3212108642156264,0.015707678439614757
