number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,39.28168658610605,2024-07-10 21:07:59.135288,2024-07-10 21:08:07.877439,0 days 00:00:08.742151,10,0.5780093202212182,12,15,218,COMPLETE,"{'mse': 1591.9271643992427, 'rmse': 39.89896194638706, 'mae': 30.431868967349136, 'mdae': 23.742420619612936, 'r2': 0.4671316706318348}","{'mse': 1514.3618012173588, 'rmse': 38.91480182677741, 'mae': 30.078945601191343, 'mdae': 24.355487723880486, 'r2': 0.4480635580666106}","{'mse': 1541.7817553008913, 'rmse': 39.265528842750754, 'mae': 30.3811575821236, 'mdae': 24.494830429555428, 'r2': 0.4448277311260733}","{'mse': 1533.8669222679353, 'rmse': 39.164613138239154, 'mae': 30.199460089071167, 'mdae': 24.010864386222732, 'r2': 0.4427361877701317}","{'mse': 1533.8601889490824, 'rmse': 39.16452717637585, 'mae': 29.995099850867902, 'mdae': 23.434964446139666, 'r2': 0.46657592065450093}",1543.159566426902,39.28168658610605,30.217306418120632,24.007713521082252,0.4538670136498303,29.078857927603252,0.3685535541789657,0.18823008336121863,0.43493146960789725,0.012007825074909257
1,44.64672845054122,2024-07-10 21:08:07.878436,2024-07-10 21:08:10.093222,0 days 00:00:02.214786,2,0.8540362888980227,13,18,120,COMPLETE,"{'mse': 2062.492200198997, 'rmse': 45.41466943839839, 'mae': 36.114578410254865, 'mdae': 29.51269148949999, 'r2': 0.309618682542136}","{'mse': 1954.8414205617853, 'rmse': 44.213588641522705, 'mae': 35.65197403586607, 'mdae': 30.732188306054677, 'r2': 0.2875228249011934}","{'mse': 1967.290641156054, 'rmse': 44.35415021343611, 'mae': 35.84622952036605, 'mdae': 30.396345623719263, 'r2': 0.29160842315720636}","{'mse': 1984.090393764645, 'rmse': 44.54312959104518, 'mae': 35.848606671547, 'mdae': 30.156006735867106, 'r2': 0.27916707728259493}","{'mse': 1998.8145962071358, 'rmse': 44.708104368303694, 'mae': 36.287011751998264, 'mdae': 31.503601611493934, 'r2': 0.30488069027031084}",1993.5058503777236,44.64672845054122,35.94968007800645,30.460166753326995,0.2945595396306883,42.00632510320535,0.46836022642439606,0.25026528782111634,0.7343445813710178,0.012534515103455383
2,39.21448095092407,2024-07-10 21:08:10.094234,2024-07-10 21:08:13.059356,0 days 00:00:02.965122,10,0.5909124836035503,5,17,59,COMPLETE,"{'mse': 1595.3768950422666, 'rmse': 39.94216938327545, 'mae': 30.38191509551446, 'mdae': 23.434052385337655, 'r2': 0.46597693676861063}","{'mse': 1509.6643707753935, 'rmse': 38.8543996321574, 'mae': 29.90402578847773, 'mdae': 23.87709835199672, 'r2': 0.44977562122237935}","{'mse': 1535.6798334440402, 'rmse': 39.1877510638725, 'mae': 30.208498068924534, 'mdae': 23.875825140201307, 'r2': 0.4470249408090341}","{'mse': 1533.0973296889608, 'rmse': 39.15478680428436, 'mae': 30.156350839579133, 'mdae': 23.78209071223854, 'r2': 0.4430157857510236}","{'mse': 1515.8016831143987, 'rmse': 38.93329787103064, 'mae': 29.62470757399484, 'mdae': 22.52635401211407, 'r2': 0.47285605095491734}",1537.924022413012,39.21448095092407,30.05509947329814,23.499084120377656,0.455729867101193,33.974886780005384,0.43085113819216525,0.2952337482697728,0.5734444777931494,0.012953621698935129
3,42.3985962156337,2024-07-10 21:08:13.060443,2024-07-10 21:08:16.329771,0 days 00:00:03.269328,4,0.645614570099021,9,11,132,COMPLETE,"{'mse': 1858.5738299611498, 'rmse': 43.11117987206045, 'mae': 33.749604456682114, 'mdae': 28.099297265025875, 'r2': 0.3778766052072895}","{'mse': 1757.7433075365593, 'rmse': 41.92544940172448, 'mae': 33.2474294891783, 'mdae': 28.3183995922109, 'r2': 0.3593587832088303}","{'mse': 1785.9763442724804, 'rmse': 42.26081334135064, 'mae': 33.571761151273186, 'mdae': 28.672606832804718, 'r2': 0.35689695652715125}","{'mse': 1798.1204864120198, 'rmse': 42.404250805927695, 'mae': 33.47702569615495, 'mdae': 27.63063512442796, 'r2': 0.3467311521230174}","{'mse': 1788.553011696022, 'rmse': 42.29128765710524, 'mae': 33.64489975293588, 'mdae': 29.38832577652601, 'r2': 0.3780024734338805}",1797.7933959756465,42.3985962156337,33.53814410924489,28.421852918199097,0.3637731941000338,37.15980738711126,0.4365130572186561,0.19071759374266822,0.6591125944792596,0.013771160595991774
4,43.35952776642216,2024-07-10 21:08:16.330773,2024-07-10 21:08:24.937723,0 days 00:00:08.606950,3,0.728034992108518,8,7,325,COMPLETE,"{'mse': 1942.5324649104914, 'rmse': 44.07417004221964, 'mae': 34.74869584148682, 'mdae': 28.831193679712893, 'r2': 0.3497729968626384}","{'mse': 1836.9666214260747, 'rmse': 42.85984859313055, 'mae': 34.23386204279311, 'mdae': 30.151761265880204, 'r2': 0.3304844191359908}","{'mse': 1862.8896383725953, 'rmse': 43.16120524698766, 'mae': 34.57880789260552, 'mdae': 29.656192656010838, 'r2': 0.3292016437208357}","{'mse': 1875.791237706332, 'rmse': 43.31040565160215, 'mae': 34.48487752379736, 'mdae': 28.398397472992475, 'r2': 0.31851286386302347}","{'mse': 1882.8664709325433, 'rmse': 43.39200929817083, 'mae': 34.86891929852494, 'mdae': 30.246214952835643, 'r2': 0.3452034800669559}",1880.2092866696075,43.35952776642216,34.58303251984155,29.456752005486408,0.3346350807298889,38.989282647256154,0.4481050971486394,0.24533031769965963,0.815092590713947,0.012723243252906526
5,43.958469496201005,2024-07-10 21:08:24.938724,2024-07-10 21:08:31.283104,0 days 00:00:06.344380,3,0.5232252063599989,12,11,404,COMPLETE,"{'mse': 2004.7946437481767, 'rmse': 44.774933207635016, 'mae': 35.523932673994985, 'mdae': 29.203976249737845, 'r2': 0.32893187802126245}","{'mse': 1881.5075515933659, 'rmse': 43.3763478360427, 'mae': 34.79582132600801, 'mdae': 30.131648040350893, 'r2': 0.31425067466543155}","{'mse': 1917.1470854515742, 'rmse': 43.78523821394117, 'mae': 35.25453256214936, 'mdae': 30.11576243489366, 'r2': 0.30966435843737794}","{'mse': 1926.44758875, 'rmse': 43.891315641593614, 'mae': 35.20725388277852, 'mdae': 29.108576105181896, 'r2': 0.3001090826180962}","{'mse': 1932.87836655459, 'rmse': 43.96451258179249, 'mae': 35.54762349852516, 'mdae': 30.996339041675967, 'r2': 0.32781105436172164}",1932.5550472195414,43.958469496201005,35.26583278869121,29.911260374368055,0.316153409620778,44.99782490998079,0.5099102508136963,0.3043400702068209,0.776585539280145,0.012271293229610087
6,42.9107653710595,2024-07-10 21:08:31.284195,2024-07-10 21:08:40.295156,0 days 00:00:09.010961,3,0.9828160165372797,19,3,324,COMPLETE,"{'mse': 1896.3038588641573, 'rmse': 43.54657114933571, 'mae': 34.17179925159123, 'mdae': 28.445858143641033, 'r2': 0.36524717220421277}","{'mse': 1796.9571443707498, 'rmse': 42.39053130559642, 'mae': 33.69921856721607, 'mdae': 29.21748684905997, 'r2': 0.3450665938790276}","{'mse': 1826.6914643816963, 'rmse': 42.739811234745716, 'mae': 34.061302919507874, 'mdae': 29.267501656197858, 'r2': 0.3422360581666719}","{'mse': 1851.7798966670741, 'rmse': 43.03231223937512, 'mae': 34.05392932711243, 'mdae': 28.343638048866087, 'r2': 0.3272363399677849}","{'mse': 1835.659828529151, 'rmse': 42.844600926244496, 'mae': 34.126273255379076, 'mdae': 29.961086821489836, 'r2': 0.36162033470888677}",1841.4784385625658,42.9107653710595,34.02250466416134,29.047114303850957,0.3482812997853168,36.56023528023988,0.42522616401024477,0.1871252981940208,0.6650810032906792,0.01545590739523026
7,42.21397721278708,2024-07-10 21:08:40.296151,2024-07-10 21:08:50.856887,0 days 00:00:10.560736,4,0.7200762468698007,14,3,414,COMPLETE,"{'mse': 1838.4253431427428, 'rmse': 42.87686256179133, 'mae': 33.53722373133083, 'mdae': 27.85372980204947, 'r2': 0.3846209404698093}","{'mse': 1738.6531790220656, 'rmse': 41.69716032324103, 'mae': 33.03754647234175, 'mdae': 28.23905749410856, 'r2': 0.36631652448299}","{'mse': 1773.5595070473391, 'rmse': 42.1136498898794, 'mae': 33.444644302538855, 'mdae': 28.490730899315764, 'r2': 0.361368071632009}","{'mse': 1784.944180365477, 'rmse': 42.24859974443505, 'mae': 33.358940926909064, 'mdae': 27.412140083256208, 'r2': 0.3515181896632411}","{'mse': 1775.2413903247407, 'rmse': 42.133613544588606, 'mae': 33.414933863821695, 'mdae': 28.98602135859349, 'r2': 0.3826317997738754}",1782.1647199804731,42.21397721278708,33.35865785938844,28.196335927464702,0.36929110520438496,36.0146480558967,0.42551124950769204,0.19076099622397086,0.6009240158062128,0.014146351995754982
8,40.775108259187185,2024-07-10 21:08:50.857886,2024-07-10 21:08:54.206948,0 days 00:00:03.349062,6,0.6293899908000085,19,2,105,COMPLETE,"{'mse': 1702.8590954323167, 'rmse': 41.265713315442845, 'mae': 31.92095377735592, 'mdae': 25.516584932276242, 'r2': 0.42999924768867437}","{'mse': 1631.2501482910286, 'rmse': 40.38873788930559, 'mae': 31.633482277861866, 'mdae': 26.314048766771393, 'r2': 0.4054614940582246}","{'mse': 1667.6806219754633, 'rmse': 40.83724552385314, 'mae': 32.15722218675818, 'mdae': 26.911516259912574, 'r2': 0.3994934552338687}","{'mse': 1662.8687349201955, 'rmse': 40.77828754276221, 'mae': 31.906313001629428, 'mdae': 25.786739536902925, 'r2': 0.39586899162715083}","{'mse': 1648.811261275781, 'rmse': 40.60555702457215, 'mae': 31.75682494800285, 'mdae': 26.11417169811707, 'r2': 0.42659987175029246}",1662.6939723789571,40.775108259187185,31.87495923832165,26.12861223879604,0.41148461207164216,26.549849655330068,0.32503621052498194,0.19687417373581687,0.5336169763108813,0.015773206728203374
9,42.53687707698221,2024-07-10 21:08:54.206948,2024-07-10 21:09:01.423833,0 days 00:00:07.216885,4,0.5924272277627636,11,11,348,COMPLETE,"{'mse': 1863.1777357981189, 'rmse': 43.16454257603246, 'mae': 33.851131759483586, 'mdae': 28.117033155240296, 'r2': 0.3763355324328703}","{'mse': 1767.8490370320906, 'rmse': 42.045796900904264, 'mae': 33.43776486541526, 'mdae': 28.783772444578474, 'r2': 0.3556755680244398}","{'mse': 1798.9090095016115, 'rmse': 42.413547476031894, 'mae': 33.80800024639737, 'mdae': 28.89621863650774, 'r2': 0.3522400995672358}","{'mse': 1807.0455925747165, 'rmse': 42.509358882188714, 'mae': 33.62399990719282, 'mdae': 27.814348706214986, 'r2': 0.34348860310355833}","{'mse': 1810.5994769826116, 'rmse': 42.55113954975368, 'mae': 33.93768663883156, 'mdae': 29.29774533407882, 'r2': 0.37033546731881917}",1809.51617037783,42.53687707698221,33.73171668346412,28.581823655324065,0.35961505408938466,34.407494729865014,0.403514119232388,0.20032058062834027,0.603576708932662,0.013458023460957457
