number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,41.00787679629954,2024-07-10 18:47:11.706041,2024-07-10 18:47:13.649627,0 days 00:00:01.943586,0.8005575058716043,0.18361096041714062,8,9,0.7800932022121826,218,30,0.5808361216819946,1.5599452033620265,COMPLETE,"{'mse': 1771.6431615521851, 'rmse': 42.09089166972096, 'mae': 31.73335916324725, 'mdae': 24.06128509966664, 'r2': 0.4069750470718858}","{'mse': 1674.2514834383433, 'rmse': 40.9176182522681, 'mae': 31.04850576361379, 'mdae': 23.90132434055059, 'r2': 0.3897888827307897}","{'mse': 1663.4827316998199, 'rmse': 40.78581532469125, 'mae': 31.24016546831929, 'mdae': 24.119194285036457, 'r2': 0.401005051969788}","{'mse': 1672.7258192554714, 'rmse': 40.89897088259644, 'mae': 30.94049886560314, 'mdae': 23.855850138203728, 'r2': 0.39228784888627644}","{'mse': 1627.8068049791311, 'rmse': 40.346087852220954, 'mae': 30.072162723012713, 'mdae': 21.667871117519205, 'r2': 0.43390450280005566}",1681.98200018499,41.00787679629954,31.00693839675924,23.521104996195326,0.4047922666917591,53.52974953790578,0.6481134589212926,0.6045720830490855,1.0417055978785323,0.017664171447436563
1,40.51645649254175,2024-07-10 18:47:13.650625,2024-07-10 18:47:14.463626,0 days 00:00:00.813001,0.762378215816119,0.2514083658321223,10,4,1.0616955533913808,369,2,1.8340450985343382,1.8182496720710062,COMPLETE,"{'mse': 1688.439649950125, 'rmse': 41.090627276182154, 'mae': 31.773727750824662, 'mdae': 25.49770403362418, 'r2': 0.4348258917690966}","{'mse': 1618.7241240826818, 'rmse': 40.23337077703883, 'mae': 31.492062423141228, 'mdae': 25.853860039246044, 'r2': 0.41002682925590916}","{'mse': 1641.064274288739, 'rmse': 40.510051521674704, 'mae': 31.910554653450873, 'mdae': 27.2230485938167, 'r2': 0.4090775990879334}","{'mse': 1632.063828254548, 'rmse': 40.39880973809189, 'mae': 31.620395949153156, 'mdae': 26.324467059718497, 'r2': 0.40706061423447715}","{'mse': 1628.0759485152528, 'rmse': 40.34942314972115, 'mae': 31.588248302458513, 'mdae': 25.37696616399417, 'r2': 0.43381090388928023}",1641.673565018269,40.51645649254175,31.676997815805684,26.055209178079917,0.4189603676473393,27.3466496555509,0.33600280177635966,0.1652171477385624,0.7496191959476488,0.014065335369340876
2,39.257319488525106,2024-07-10 18:47:14.464626,2024-07-10 18:47:15.660366,0 days 00:00:01.195740,0.5998368910791798,0.05045321958909213,7,8,1.4607232426760908,244,10,4.56069984217036,3.663618432936917,COMPLETE,"{'mse': 1576.2962418138836, 'rmse': 39.70259741898361, 'mae': 30.1034609556004, 'mdae': 23.8915494137589, 'r2': 0.47236383438330065}","{'mse': 1512.4342603421912, 'rmse': 38.890027775024684, 'mae': 29.976814794911903, 'mdae': 23.609107181791927, 'r2': 0.4487660850660805}","{'mse': 1566.794222269201, 'rmse': 39.582751575265725, 'mae': 30.635682951236554, 'mdae': 24.957857929117218, 'r2': 0.43582112043737653}","{'mse': 1536.3445463804167, 'rmse': 39.19623127776976, 'mae': 30.282436147648095, 'mdae': 24.215608837663723, 'r2': 0.4418360508428991}","{'mse': 1514.3763996582416, 'rmse': 38.91498939558177, 'mae': 29.809336951057258, 'mdae': 23.248418020922117, 'r2': 0.47335171576249535}",1541.2491340927868,39.257319488525106,30.161546360090842,23.984508276650775,0.45442776129843043,29.399604909911773,0.3741668555830801,0.3166113473167769,0.6504254784460511,0.01744012331057282
3,39.63607014596118,2024-07-10 18:47:15.660366,2024-07-10 18:47:16.504475,0 days 00:00:00.844109,0.9041986740582306,0.1861880070514171,2,10,0.8526206184364576,281,19,9.488855372533333,0.6505159298527952,COMPLETE,"{'mse': 1622.9107369130982, 'rmse': 40.28536628743865, 'mae': 30.82614131099825, 'mdae': 24.08102835621025, 'r2': 0.456760489781016}","{'mse': 1532.7632633552375, 'rmse': 39.15052060133093, 'mae': 30.37151457638982, 'mdae': 23.658028159579313, 'r2': 0.4413568136607571}","{'mse': 1582.6004797545397, 'rmse': 39.78191146431428, 'mae': 30.864526057256327, 'mdae': 24.75028729265484, 'r2': 0.43012952640964175}","{'mse': 1571.0533071213597, 'rmse': 39.63651482057119, 'mae': 30.579547898675525, 'mdae': 24.361528288999843, 'r2': 0.42922613270236454}","{'mse': 1546.5372298677864, 'rmse': 39.326037556150844, 'mae': 30.12841453078634, 'mdae': 23.0810488361711, 'r2': 0.46216727967822135}",1571.1730034024044,39.63607014596118,30.55402887482125,23.98638418672307,0.44392804844640016,34.96292350455618,0.44009485745892113,0.310468975012384,0.6443384881147212,0.015087228802871076
4,39.48608660785353,2024-07-10 18:47:16.504475,2024-07-10 18:47:17.266483,0 days 00:00:00.762008,0.6293899908000085,0.13764422318448438,8,10,0.6101911742238941,187,4,0.34388521115218396,4.951769101112702,COMPLETE,"{'mse': 1584.297091790296, 'rmse': 39.803229665321076, 'mae': 30.319895543528865, 'mdae': 23.33194250576348, 'r2': 0.4696856970565435}","{'mse': 1541.4747416986663, 'rmse': 39.2616191935415, 'mae': 30.436915390453045, 'mdae': 24.103127156549462, 'r2': 0.438181758428258}","{'mse': 1565.1824126629695, 'rmse': 39.56238633680948, 'mae': 30.746276911046955, 'mdae': 24.994865985578922, 'r2': 0.436401508675211}","{'mse': 1568.9651643806283, 'rmse': 39.61016491231295, 'mae': 30.669850633210988, 'mdae': 24.936210036924297, 'r2': 0.429984768518345}","{'mse': 1536.093830352606, 'rmse': 39.193032931282644, 'mae': 30.04454473415217, 'mdae': 23.311136595711105, 'r2': 0.4657991366178289}",1559.202648177033,39.48608660785353,30.4434966424784,24.13545645610545,0.4480105738592373,20.056741606877715,0.25399944420007237,0.2816891859177019,0.8224922675606918,0.018320409357092185
5,40.23192345957887,2024-07-10 18:47:17.267485,2024-07-10 18:47:18.910729,0 days 00:00:01.643244,0.9474136752138245,0.1685459810095511,6,10,0.9242722776276352,348,11,7.7513282336111455,9.695846277645586,COMPLETE,"{'mse': 1707.7416582105277, 'rmse': 41.32483101248604, 'mae': 31.446946254985754, 'mdae': 24.522355203718604, 'r2': 0.42836489963001667}","{'mse': 1590.0340910481814, 'rmse': 39.875231548521214, 'mae': 30.39765892627015, 'mdae': 23.58505487705189, 'r2': 0.4204834286889403}","{'mse': 1624.516741058574, 'rmse': 40.30529420632696, 'mae': 30.970647070672577, 'mdae': 24.089813229526193, 'r2': 0.4150361152891219}","{'mse': 1600.814679825431, 'rmse': 40.01018220185246, 'mae': 30.505806862557588, 'mdae': 23.405326310257855, 'r2': 0.4184136327589256}","{'mse': 1571.6529465327096, 'rmse': 39.64407832870768, 'mae': 29.952210302061278, 'mdae': 22.181121754570043, 'r2': 0.4534328929749143}",1618.9520233350845,40.23192345957887,30.65465388330947,23.55673427502492,0.4271461938683837,53.19064308774307,0.6560850532440375,0.5721030774789331,0.8849623133769196,0.015490157037724255
6,39.75883541460844,2024-07-10 18:47:18.911729,2024-07-10 18:47:19.885726,0 days 00:00:00.973997,0.9143687545759647,0.0668350301015521,2,3,0.22613644455269033,319,29,3.8867728968948203,3.2533033076326436,COMPLETE,"{'mse': 1615.9834935660115, 'rmse': 40.19929717751309, 'mae': 30.70978506447211, 'mdae': 23.767368420105647, 'r2': 0.45907925704125174}","{'mse': 1562.3346033845469, 'rmse': 39.52637857664862, 'mae': 30.712874942453638, 'mdae': 24.46928451374209, 'r2': 0.43057900601541166}","{'mse': 1583.2552331823451, 'rmse': 39.790139899004444, 'mae': 30.949661366749552, 'mdae': 25.386692675244646, 'r2': 0.42989375961267584}","{'mse': 1573.488433346446, 'rmse': 39.6672211447493, 'mae': 30.861649592274333, 'mdae': 25.154408657301413, 'r2': 0.42834143553356063}","{'mse': 1569.0424338957687, 'rmse': 39.61114027512675, 'mae': 30.59955066809377, 'mdae': 24.312556076432607, 'r2': 0.4543407399286409}",1580.8208394750236,39.75883541460844,30.76670432680868,24.61806206856528,0.44044683962630815,21.07471505063225,0.26421096944818007,0.13835247790067942,0.6552879192291879,0.014962368550224822
7,39.230097458564124,2024-07-10 18:47:19.886726,2024-07-10 18:47:20.959008,0 days 00:00:01.072282,0.5993578407670862,0.050868025242681164,6,8,4.010984903770199,210,10,9.868869366005173,0.7455064367977082,COMPLETE,"{'mse': 1571.6757991458217, 'rmse': 39.64436654993773, 'mae': 30.104999777550802, 'mdae': 23.43223144139487, 'r2': 0.4739104425576769}","{'mse': 1516.9490943495841, 'rmse': 38.94803068641063, 'mae': 30.15403691106747, 'mdae': 23.90409985176373, 'r2': 0.44712057247063786}","{'mse': 1556.7006681873552, 'rmse': 39.4550461688661, 'mae': 30.566278888292143, 'mdae': 24.626585890953567, 'r2': 0.43945565645478224}","{'mse': 1531.7748719118058, 'rmse': 39.137895598918014, 'mae': 30.206727356377694, 'mdae': 24.217420431117784, 'r2': 0.4434962432481583}","{'mse': 1518.282781159456, 'rmse': 38.965148288688134, 'mae': 29.879540672310025, 'mdae': 23.430545788573326, 'r2': 0.47199320996720173}",1539.0766429508046,39.230097458564124,30.182316721119626,23.922176680760654,0.4551952249396914,24.231385669048816,0.3084159982180319,0.2482306478286286,0.516099615143781,0.0164486463932369
8,39.82761234498936,2024-07-10 18:47:20.960008,2024-07-10 18:47:21.947008,0 days 00:00:00.987000,0.9315517129377968,0.2214120787318863,8,2,3.8563517334297286,52,26,3.5846572854427263,0.7404465173409036,COMPLETE,"{'mse': 1635.144348337954, 'rmse': 40.4369181360048, 'mae': 30.486577169781807, 'mdae': 23.452067165074098, 'r2': 0.4526655134354354}","{'mse': 1584.1735097880128, 'rmse': 39.8016772233032, 'mae': 30.47437441530537, 'mdae': 24.22742945904719, 'r2': 0.42261942311629497}","{'mse': 1591.2960541020905, 'rmse': 39.891052306276535, 'mae': 30.60961627030378, 'mdae': 23.621658380090274, 'r2': 0.42699838173038107}","{'mse': 1579.9945038573976, 'rmse': 39.7491446934069, 'mae': 30.46456941176725, 'mdae': 23.970893328969247, 'r2': 0.42597773787313475}","{'mse': 1541.2902311486419, 'rmse': 39.25926936595537, 'mae': 29.767601554521608, 'mdae': 22.426227784406528, 'r2': 0.46399200626102965}",1586.3797294468193,39.82761234498936,30.360547764335962,23.539655223517467,0.4384506124832551,33.4696118572717,0.4198576307369089,0.3366306392177158,0.691577282465066,0.018653276871779437
9,39.589254491026274,2024-07-10 18:47:21.948008,2024-07-10 18:47:22.820703,0 days 00:00:00.872695,0.7361074625809747,0.10018487329754203,2,9,1.6259166101337352,331,11,6.3755747135521315,7.29606178338064,COMPLETE,"{'mse': 1598.650769649018, 'rmse': 39.983131063600034, 'mae': 30.525182562111006, 'mdae': 23.288591923143663, 'r2': 0.4648810674780587}","{'mse': 1550.3274938990687, 'rmse': 39.37419832706526, 'mae': 30.601492962023904, 'mdae': 24.022898768181715, 'r2': 0.4349552133933262}","{'mse': 1572.536482813141, 'rmse': 39.65522012059876, 'mae': 30.844494871227838, 'mdae': 25.33883238586939, 'r2': 0.4337534193482414}","{'mse': 1563.1053491957246, 'rmse': 39.53612713956344, 'mae': 30.70768848238288, 'mdae': 24.81297021718744, 'r2': 0.4321136774226936}","{'mse': 1552.170555159304, 'rmse': 39.3975958043039, 'mae': 30.470006834687112, 'mdae': 23.580373719954935, 'r2': 0.4602082019350665}",1567.3581301432514,39.589254491026274,30.629773142486545,24.20873340286743,0.4451823159154773,19.652199458164706,0.24763629582240973,0.1495329831533545,0.8541452722500681,0.015967315668234776
