number,value,datetime_start,datetime_complete,duration,params_C,params_loss,params_tol,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,38.93777469684714,2024-09-19 18:44:17.462662,2024-09-19 18:44:25.085395,0 days 00:00:07.622733,0.0074593432857265485,epsilon_insensitive,0.06351221010640701,COMPLETE,"{'mse': 1528.518590082849, 'rmse': 39.0962733528766, 'mae': 25.466227459060423, 'mdae': 14.080371071341297, 'r2': 0.4402775596133398}","{'mse': 1610.3321605950773, 'rmse': 40.12894417493534, 'mae': 26.01264246869764, 'mdae': 13.98860145941416, 'r2': 0.4293697836311703}","{'mse': 1486.3276728304338, 'rmse': 38.55292041895703, 'mae': 25.304500235747078, 'mdae': 14.426230670204976, 'r2': 0.4481935804522098}","{'mse': 1441.8510633796345, 'rmse': 37.97171399054347, 'mae': 25.11207564045336, 'mdae': 14.457703244213853, 'r2': 0.47873823823947304}","{'mse': 1516.247399031757, 'rmse': 38.9390215469233, 'mae': 25.307559359139116, 'mdae': 13.759049281735429, 'r2': 0.437516315600596}",1516.6553771839501,38.93777469684714,25.440601032619522,14.142391145381941,0.44681909550735777,62.11219089639592,0.7945744470471976,0.3435260417392535,0.29767236059114094,0.01906916865266814
1,36.65911823600412,2024-09-19 18:44:25.087313,2024-09-19 18:44:39.476373,0 days 00:00:14.389060,0.0006026889128682511,squared_epsilon_insensitive,4.207053950287933e-05,COMPLETE,"{'mse': 1344.2301778354572, 'rmse': 36.663744732848244, 'mae': 26.066679856395996, 'mdae': 17.911670566448176, 'r2': 0.5077614361637075}","{'mse': 1434.8981680824697, 'rmse': 37.88004973706436, 'mae': 26.169179941402575, 'mdae': 17.05638056245217, 'r2': 0.4915358010253229}","{'mse': 1301.621655229721, 'rmse': 36.07799405773166, 'mae': 26.118221306323584, 'mdae': 18.11290280624416, 'r2': 0.516766593055204}","{'mse': 1324.0780141649677, 'rmse': 36.387882793108034, 'mae': 25.890358849042514, 'mdae': 17.36555574667804, 'r2': 0.5213158585504432}","{'mse': 1316.667980033244, 'rmse': 36.28591985926833, 'mae': 25.660946748191222, 'mdae': 17.57217094565027, 'r2': 0.5115544752045385}",1344.299199069172,36.65911823600412,25.981077340271177,17.603736125494564,0.5097868327998432,52.91958825121586,0.7143609275443977,0.2075043899416041,0.42172227073520147,0.011423248662480031
2,51.0113659036779,2024-09-19 18:44:39.478232,2024-09-19 18:44:52.182609,0 days 00:00:12.704377,0.10129197956845731,squared_epsilon_insensitive,0.006796578090758156,COMPLETE,"{'mse': 2525.0069330164242, 'rmse': 50.24944709164892, 'mae': 38.84747476925121, 'mdae': 31.741842906978267, 'r2': 0.07537726285384261}","{'mse': 2390.3649425112094, 'rmse': 48.89135856683888, 'mae': 35.64888964740891, 'mdae': 25.898096834127415, 'r2': 0.1529608004341274}","{'mse': 3043.4539061489277, 'rmse': 55.16750770289453, 'mae': 42.73890137870326, 'mdae': 34.84045118852424, 'r2': -0.129897151018306}","{'mse': 3130.2120412637287, 'rmse': 55.948297929997196, 'mae': 43.161078304112756, 'mdae': 33.75921495125219, 'r2': -0.1316424315619733}","{'mse': 2007.0595531877125, 'rmse': 44.80021822700993, 'mae': 32.58418714638831, 'mdae': 23.185130483762244, 'r2': 0.2554392818698571}",2619.2194752256,51.0113659036779,38.596106249172884,29.884947272928873,0.04444755251550956,468.2623264074159,4.617903185793463,4.552311623688239,5.094054179293343,0.17223025282605048
3,54.693390966728806,2024-09-19 18:44:52.184040,2024-09-19 18:45:03.232170,0 days 00:00:11.048130,1.452824663751602,squared_epsilon_insensitive,7.068974950624602e-05,COMPLETE,"{'mse': 3283.600281657653, 'rmse': 57.30270745486336, 'mae': 43.05821558948937, 'mdae': 31.814847675386453, 'r2': -0.20240916586047408}","{'mse': 2706.22460469358, 'rmse': 52.021386032030904, 'mae': 38.461200793539405, 'mdae': 28.962693433425773, 'r2': 0.041034160835309086}","{'mse': 3292.486437310093, 'rmse': 57.380192029219394, 'mae': 44.61994093612902, 'mdae': 36.741561758556784, 'r2': -0.22235169646135744}","{'mse': 3560.1301332690773, 'rmse': 59.666826070012114, 'mae': 46.08615790053213, 'mdae': 36.26224267332839, 'r2': -0.2870675428950067}","{'mse': 2218.018451194808, 'rmse': 47.095843247518225, 'mae': 34.59668754155602, 'mdae': 25.33304064777, 'r2': 0.17717966653027362}",3012.091981625042,54.693390966728806,41.364440552249185,31.82287723769348,-0.0987229155702511,542.4000478023102,5.089814115661639,4.743233423878574,4.852837255638858,0.19821887386241463
4,38.96340930621331,2024-09-19 18:45:03.233945,2024-09-19 18:45:21.128297,0 days 00:00:17.894352,0.0033205591037519565,epsilon_insensitive,0.0012561043700013551,COMPLETE,"{'mse': 1499.01395664816, 'rmse': 38.717101604435214, 'mae': 25.100452712215105, 'mdae': 13.767235839928006, 'r2': 0.45108174971997284}","{'mse': 1644.2263414646172, 'rmse': 40.549060919639274, 'mae': 26.207187306375307, 'mdae': 14.142823527212844, 'r2': 0.41735919088732143}","{'mse': 1537.330729207218, 'rmse': 39.208809331669556, 'mae': 25.678924984805512, 'mdae': 14.593272491642335, 'r2': 0.42925844626899656}","{'mse': 1467.562675860251, 'rmse': 38.30878066266598, 'mae': 25.357601749639255, 'mdae': 14.767234228072361, 'r2': 0.469442908950791}","{'mse': 1446.531453453172, 'rmse': 38.03329401265649, 'mae': 24.551745117428652, 'mdae': 13.287478428534733, 'r2': 0.4633789036950402}",1518.9330313266835,38.96340930621331,25.379182374092768,14.111608903078055,0.4461042399044244,77.96563391647993,0.991064177522122,0.6201302609208772,0.6042769600474467,0.022237028196802722
5,51.294112440187305,2024-09-19 18:45:21.129808,2024-09-19 18:45:34.216882,0 days 00:00:13.087074,0.11462107403425033,squared_epsilon_insensitive,3.613894271216525e-05,COMPLETE,"{'mse': 2545.4747152932314, 'rmse': 50.4526977999515, 'mae': 39.05096262933382, 'mdae': 31.92015514058501, 'r2': 0.0678822430879027}","{'mse': 2421.462791917907, 'rmse': 49.20836099605337, 'mae': 35.934418744767704, 'mdae': 26.12787112674086, 'r2': 0.14194110339908117}","{'mse': 3070.2387849887205, 'rmse': 55.409735471203255, 'mae': 42.941886409832684, 'mdae': 35.138652067937755, 'r2': -0.13984116831730553}","{'mse': 3177.0566361974616, 'rmse': 56.36538508870015, 'mae': 43.49369614471537, 'mdae': 34.13930619744301, 'r2': -0.1485778118549146}","{'mse': 2028.0956382325744, 'rmse': 45.03438284502825, 'mae': 32.79064956184134, 'mdae': 23.320024319143638, 'r2': 0.24763550616087382}",2648.465713325979,51.294112440187305,38.84232269809819,30.129201770370052,0.03380797449512751,475.47276204766104,4.660973919070014,4.5706641021097685,5.166202383183703,0.17463865730915173
6,42.08327123720807,2024-09-19 18:45:34.218420,2024-09-19 18:45:44.985366,0 days 00:00:10.766946,0.019069966103000432,squared_epsilon_insensitive,0.013826232179369865,COMPLETE,"{'mse': 1935.9599785633616, 'rmse': 43.99954520859689, 'mae': 32.01368938719271, 'mdae': 22.415118131947807, 'r2': 0.29107813884444955}","{'mse': 1876.1746752242461, 'rmse': 43.31483204658938, 'mae': 30.472490067589185, 'mdae': 20.252886834652674, 'r2': 0.33516700028315694}","{'mse': 1680.3459249872797, 'rmse': 40.99202269938969, 'mae': 30.21530109966213, 'mdae': 23.126476297700577, 'r2': 0.3761633552154606}","{'mse': 1737.986830982253, 'rmse': 41.68916922873677, 'mae': 30.91738548030946, 'mdae': 22.89844798949067, 'r2': 0.37167846219088185}","{'mse': 1633.8400219198747, 'rmse': 40.42078700272763, 'mae': 28.70815878859582, 'mdae': 19.521612170139104, 'r2': 0.39389287273597084}",1772.8614863354028,42.08327123720807,30.465404964669865,21.642908284786166,0.35359596585398395,128.81874030125877,1.5247000979614083,1.1991650537818779,1.6436026652550206,0.040951831175866656
7,37.89462529918861,2024-09-19 18:45:44.986521,2024-09-19 18:45:55.163533,0 days 00:00:10.177012,0.09163741808778776,epsilon_insensitive,1.5339162591163613e-05,COMPLETE,"{'mse': 1380.476932432786, 'rmse': 37.15476998223493, 'mae': 24.459293447015042, 'mdae': 14.218905731574392, 'r2': 0.49448837421278047}","{'mse': 1596.130761296757, 'rmse': 39.95160524055019, 'mae': 25.80676674452334, 'mdae': 14.211216313825311, 'r2': 0.43440212897745345}","{'mse': 1381.3985896145473, 'rmse': 37.1671708583603, 'mae': 24.970261918133158, 'mdae': 14.97390241061457, 'r2': 0.487149015901736}","{'mse': 1391.6665917593375, 'rmse': 37.30504780534851, 'mae': 24.73305974950683, 'mdae': 14.114792495429093, 'r2': 0.4968810594740748}","{'mse': 1435.9956016886033, 'rmse': 37.89453260944913, 'mae': 24.615062419041248, 'mdae': 13.467713127100915, 'r2': 0.46728739826037624}",1437.1336953584062,37.89462529918861,24.916888855643926,14.197306015708856,0.47604159536528423,91.74013644717215,1.1890483550410698,0.5312761139486775,0.5345269564848792,0.026021254933123728
8,48.68356888565423,2024-09-19 18:45:55.164712,2024-09-19 18:46:14.208763,0 days 00:00:19.044051,0.00021147447960615738,epsilon_insensitive,0.06245139574743072,COMPLETE,"{'mse': 2351.255674384776, 'rmse': 48.489748136949274, 'mae': 34.17991273995262, 'mdae': 22.780758584576702, 'r2': 0.13900257898185164}","{'mse': 2463.3196659791693, 'rmse': 49.63184125114813, 'mae': 35.04802392130455, 'mdae': 23.340237090172533, 'r2': 0.12710888574451085}","{'mse': 2335.4031625995663, 'rmse': 48.32600917311056, 'mae': 34.46918738111171, 'mdae': 22.916569354819813, 'r2': 0.13297015125838185}","{'mse': 2414.3541058882342, 'rmse': 49.136077436932574, 'mae': 35.003015672842714, 'mdae': 23.72676144640317, 'r2': 0.12715639866494233}","{'mse': 2288.1076694021044, 'rmse': 47.83416843013062, 'mae': 34.17210207137459, 'mdae': 22.4423149955516, 'r2': 0.15117860514735604}",2370.48805565077,48.68356888565423,34.57444835731723,23.041328294304765,0.13548332395940854,68.79189721117923,0.7054929185764385,0.4291166854817805,0.5003607131197946,0.010056241156387355
9,38.786428504457355,2024-09-19 18:46:14.210285,2024-09-19 18:46:35.737078,0 days 00:00:21.526793,0.0033347927286375843,epsilon_insensitive,2.458603276328006e-05,COMPLETE,"{'mse': 1456.3361872658957, 'rmse': 38.1619730525807, 'mae': 24.678540010507838, 'mdae': 13.424823843422283, 'r2': 0.4667097606476027}","{'mse': 1643.9644396068873, 'rmse': 40.54583134684609, 'mae': 26.204147795222045, 'mdae': 14.137431536940337, 'r2': 0.4174519972768359}","{'mse': 1537.1463068977844, 'rmse': 39.20645746427219, 'mae': 25.675751882047024, 'mdae': 14.598493618795917, 'r2': 0.4293269139535546}","{'mse': 1458.1972127860158, 'rmse': 38.18634851338913, 'mae': 25.27119445993711, 'mdae': 14.711422954326792, 'r2': 0.4728287356188632}","{'mse': 1431.2248244531986, 'rmse': 37.83153214519865, 'mae': 24.384460582035857, 'mdae': 13.272266748021728, 'r2': 0.46905721785481247}",1505.3737942019566,38.786428504457355,25.242818945949974,14.02888774030141,0.45107492507033375,87.09943455567678,1.110606855830761,0.7361350167054006,0.6594420839732731,0.0257124311940673
